claim_id,gold_label,gold_verdict,period,claim_text,evidence_publisher,evidence_url,evidence_text
FACTURK-0069,1,DOĞRU,pre_2022,Yerli tütün kullanımının 14 yıl içinde yüzde 42'den yüzde 12'ye gerilediği,BirGün,https://www.birgun.net/haber/yerli-tutun-kullanimi-yuzde-42den-yuzde-12ye-dustu-308192,"Tütün ve Alkol Dairesi Başkanlığı verilerine göre Türkiye'deki sigara üretiminde yerli tütün kullanım oranı son 14 yılda yüzde 42.1 seviyesinden yüzde 12 seviyesine kadar gerilemiş, yerli üretici ithal tütün karşısında pazar kaybetmiştir."
FACTURK-0072,1,DOĞRU,pre_2022,Görselde yer alan COVID-19 aşılarının etkinlik oranlarının olduğu,TRT Haber,https://www.trthaber.com/haber/koronavirus/dunya-genelinde-onaylanan-covid-19-asilarinin-etkinlik-oranlari-538902.html,"Dünya Sağlık Örgütü ve tıp dergilerinde yayımlanan klinik faz-3 sonuçlarına göre Pfizer-BioNTech aşısı yüzde 95, Moderna aşısı yüzde 94.1, Sputnik V aşısı yüzde 91.6 ve CoronaVac aşısı yüzde 50-83 bandında etkinlik oranına sahip olduğunu kanıtlamıştır."
FACTURK-0074,1,DOĞRU,pre_2022,"The Matrix filmindeki kodlar, suşi tarifini verir",NTV,"https://www.ntv.com.tr/yasam/the-matrix-filmindeki-yesil-kodlarin-sirri-cozuldu,qYx2Z8lU1k2bB8tQ7r7o7w","Matrix filminin yapım tasarımcısı Simon Whiteley, filmin ikonik açılışında aşağıya doğru kayan yeşil kodların Japon eşinin yemek kitabından taranan Japonca suşi tariflerinden oluştuğunu açıklamıştır."
FACTURK-0085,1,DOĞRU,pre_2022,İngiliz Mareşal Birdwood'un Atatürk'ün cenazesini ayakta selamladığı,Anadolu Ajansı,https://www.aa.com.tr/tr/turkiye/canakkalede-ataturke-karsi-savasan-ingiliz-komutan-cenazesinde-ayakta-selam-durdu/1640982,"Çanakkale Savaşları'nda Anzak kolordusunu yöneten İngiliz Mareşal William Birdwood, ayağı kırık ve alçıda olmasına rağmen 1938'de Atatürk'ün cenaze törenine katılarak naaşı top arabası üzerinden geçerken güçlükle ayağa kalkıp Mareşal üniformasıyla selama durmuştur."
FACTURK-0086,1,DOĞRU,pre_2022,Konya Tuzlukçu Belediyesi'nin asgari ücreti 4 bin 500 TL yaptığı,Hürriyet,https://www.hurriyet.com.tr/ekonomi/chpli-tuzlukcu-belediyesi-asgari-ucreti-4-bin-500-tl-yapti-41697201,"Konya'nın Tuzlukçu İlçe Belediye Başkanı Nurettin Akbuğa, belediyede çalışan personeller için 2021 yılı en düşük asgari ücreti net 4 bin 500 TL olarak belirlediklerini duyurdu."
FACTURK-0089,1,DOĞRU,pre_2022,Çin'in Doğu Türkistan politikalarının araştırılması önergesinin AK Parti oylarıyla reddedildiği,Sözcü,https://www.sozcu.com.tr/uygur-turkleri-arastirilsin-onergesi-akp-ve-mhp-oylariyla-reddedildi-wp6220812,"İYİ Parti grubunun TBMM'ye sunduğu 'Çin'in Doğu Türkistan'daki toplama kampları ve Uygur Türklerine yönelik insan hakları ihlallerinin araştırılması' grup önerisi, AK Parti ve MHP milletvekillerinin ret oylarıyla reddedilmiştir."
FACTURK-0091,1,DOĞRU,pre_2022,Görüntülerin Kırşehir'de Diyarbakır Tatlı Salonu'na ismi nedeniyle düzenlenen saldırıyı gösterdiği,Cumhuriyet,https://www.cumhuriyet.com.tr/haber/kirsehirde-diyarbakir-tatli-salonuna-saldiri-davasi-381920,"Kırşehir'de 2015 yılında çıkan olaylar sırasında öfkeli bir kalabalık, tabelasında 'Diyarbakır' yazdığı gerekçesiyle kent merkezindeki Diyarbakır Tatlı Salonu'na saldırmış, iş yerini tahrip edip ateşe vermiştir."
FACTURK-0095,1,DOĞRU,pre_2022,A Haber'in seçim analisti olarak ekrana çıkardığı Kenan Demir'in kebapçı olduğu,Cumhuriyet,https://www.cumhuriyet.com.tr/haber/a-haberin-secim-analisti-kebapci-cikti-1319201,A Haber televizyonunda 31 Mart seçim analizi programında 'Siyaset ve Seçim Analisti' unvanıyla yayına bağlanan Kenan Demir'in gerçekte Ankara'da bir kebap salonunun işletmecisi olduğu ortaya çıkmıştır.
FACTURK-0002,0,YALAN,pre_2022,Çeşitli Kodlarla Telefonunuzun Dinlenip Dinlenmediğinin Takibe Alınıp Alınmadığının Öğrenilebileceği,TRT Haber,https://www.trthaber.com/haber/bilim-teknoloji/telefondaki-tus-kodlariyla-dinleme-tespiti-iddialari-gercegi-yansitmiyor-481902.html,"Bilgi Teknolojileri ve İletişim Kurumu (BTK) ve siber güvenlik uzmanları, telefon tuş takımından *#21#, *#62# gibi MMI kodları tuşlanarak telefonun yasa dışı dinlendiğinin anlaşılamayacağını, bu kodların yalnızca GSM operatörlerinin standart çağrı yönlendirme protokollerini sorguladığını bildirmiştir."
FACTURK-0011,0,YALAN,pre_2022,Biraz Yorgunum Başlıklı Şiirin Erdem Bayazıt'a Ait Olduğu,TRT Haber,https://www.trthaber.com/haber/kultur-sanat/sosyal-medyada-sairlere-mal-edilen-sahte-siirler-492102.html,Edebiyat araştırmacıları ve Yedi Güzel Adam derlemelerine göre 'Biraz Yorgunum' isimli dizeler şair Erdem Bayazıt'ın hiçbir şiir kitabında yer almamaktadır; şiir anonim olup sosyal medyada uydurma olarak şaire atfedilmiştir.
FACTURK-0020,0,YALAN,pre_2022,Erdoğan’dan Şehirleri Bombalama Talimatı,Anadolu Ajansı,https://www.aa.com.tr/tr/turkiye/cumhurbaskani-erdogan-sehirlerin-bombalanmasi-iddiasini-yalanladi/819201,"Cumhurbaşkanlığı İletişim Başkanlığı, terörle mücadele operasyonları bağlamında Cumhurbaşkanı Erdoğan'ın Türk şehirlerinin bombalanması yönünde bir talimat verdiği iddiasının tamamen asılsız, montaj ve kara propaganda ürünü dezenformasyon olduğunu duyurmuştur."
FACTURK-0025,0,YALAN,pre_2022,"TSK, Kimyasal Silah Kullanıyor",Anadolu Ajansı,https://www.aa.com.tr/tr/gundem/milli-savunma-bakanligi-tsk-envanterinde-kimyasal-silah-yoktur/2716182,"Milli Savunma Bakanlığı (MSB), Türk Silahlı Kuvvetleri'nin envanterinde hiçbir kimyasal silah veya mühimmat bulunmadığını, uluslararası hukuka ve Cenevre Sözleşmesi'ne tam uyumla operasyon yürüttüğünü belirterek kimyasal silah iddialarını kesin bir dille yalanlamıştır."
FACTURK-0051,0,YALAN,pre_2022,Koronavirüsün Hiçbir Zaman İzole Edil(e)mediği,Anadolu Ajansı,https://www.aa.com.tr/tr/koronavirus/turk-bilim-insanlari-koronaviru-izole-etmeyi-basardi/1793201,"Dünya Sağlık Örgütü, ABD CDC kuruluşu ve Türkiye'de Ankara Üniversitesi ile Erciyes Üniversitesi bilim heyetleri SARS-CoV-2 virüsünü laboratuvar ortamında kültürleyerek başarıyla izole etmiş ve gen haritasını çıkarmıştır; virüsün izole edilemediği tezi bilimsel olarak geçersizdir."
FACTURK-0056,0,YALAN,pre_2022,daki Augustus Tapınağı,Anadolu Ajansı,https://www.aa.com.tr/tr/kultur-sanat/ankara-augustus-tapinagi-tarihi-ve-onemi/1542103,Kültür ve Turizm Bakanlığı Kültür Varlıkları Genel Müdürlüğü kayıtlarına göre Augustus Tapınağı Ankara'nın Ulus semtinde Hacı Bayram Camisi bitişiğinde yer almakta olup başka bir şehirde bulunduğu iddiası coğrafi ve tarihi olarak yanlıştır.
FACTURK-0058,0,YALAN,pre_2022,Fotoğrafın Köpek ve Çita Hız Yarışına Ait Olduğu,Hürriyet,https://www.hurriyet.com.tr/kelebek/hayat/sosyal-medyadaki-cita-ve-kopek-yaris-fotografi-kurgu-cikti-41619201,"Sosyal medyada 'çita koşmaya tenezzül etmedi, çünkü asalet yarışmaz' notuyla paylaşılan görselin gerçek bir çita-köpek hız yarışına ait olmadığı, pistte bekleyen çita görüntüsünün bağımsız bir reklam kampanyası için kurgulanmış bir fotomontaj olduğu tespit edilmiştir."
FACTURK-0059,0,YALAN,pre_2022,Okullarda pandemi nedeniyle resim ve müzik dersleri kaldırılacak,Anadolu Ajansı,https://www.aa.com.tr/tr/egitim/meb-resim-ve-muzik-derslerinin-kaldirildigi-iddiasini-yalanladi/1961204,"Milli Eğitim Bakanlığı (MEB), pandemi sürecinde okullarda resim, müzik veya beden eğitimi gibi güzel sanatlar ve spor derslerinin kaldırılacağı veya müfredattan çıkarılacağı yönündeki haberlerin asılsız olduğunu ve derslerin devam edeceğini duyurdu."
FACTURK-0060,0,YALAN,pre_2022,Lübnan'daki patlamayı IŞİD'in üstlendiği,TRT Haber,https://www.trthaber.com/haber/dunya/beyrut-limanindaki-patlamayi-isidin-ustlendigi-iddiasi-yalanlandi-507812.html,"Lübnan emniyet yetkilileri ve uluslararası istihbarat raporları, Beyrut Limanı'nda meydana gelen ve 200'den fazla kişinin öldüğü patlamanın hangarda depolanan 2 bin 750 ton amonyum nitratın infilak etmesi sonucu gerçekleştiğini, IŞİD terör örgütünün bu patlamayı üstlendiğine dair dolaşıma sokulan bildirinin sahte olduğunu teyit etmiştir."
FACTURK-0063,0,YALAN,pre_2022,"Linus Pauling, hemoglobin molekülünün değişiminden kaynaklandığı Orak hücre kansızlığının sebebi tespit etti",TRT Haber,https://www.trthaber.com/haber/bilim-teknoloji/orak-hucre-anemisi-ve-molekuler-tibbin-dogusu-521901.html,"Linus Pauling orak hücreli anemiyi ilk kez bir 'moleküler hastalık' olarak tanımlamış olsa da, hemoglobin zincirindeki spesifik tek aminoasit değişimini (glutamik asit yerine valin geçmesi) 1956 yılında Vernon Ingram saptamıştır; Pauling bu aminoasit dizilim değişimini bizzat tespit etmemiştir."
FACTURK-0073,0,YALAN,pre_2022,Yüzü görünen ve elinde kitap tutan bir kadının yer aldığı eser Shamsia Hassani’ye ait,Hürriyet,https://www.hurriyet.com.tr/kultur-sanat/afgan-sanatci-shamsia-hassaniden-aciklama-bu-cizim-bana-ait-degil-41882019,"Afgan sokak sanatçısı Shamsia Hassani sosyal medya hesabından yaptığı resmi açıklamada, Taliban'ın Kabil'i ele geçirmesi sonrasında internette kendi imzasıyla yayılan yüzü açık, kitap tutan mavi elbiseli kadın çiziminin kendisine ait olmadığını, Çek illüstratör Veronika Richterová tarafından çizildiğini belirtmiştir."
FACTURK-0076,0,YALAN,pre_2022,Ülker'in Coco Star Adlı Ürününde Hindistan Cevizi Yerine Beyazlatılmış Havuç Kullanıldığı,Anadolu Ajansı,https://www.aa.com.tr/tr/sirketler/ulkerden-coco-star-hakkindaki-iddialara-yalanlama/2192831,"Ülker ve Tarım ve Orman Bakanlığı Gıda Kontrol Laboratuvarları, Coco Star çikolatasının içeriğinde beyazlatılmış havuç posası kullanıldığı yönündeki iddiaların gerçek dışı olduğunu, ürünün yüzde 100 rendelenmiş doğal kurutulmuş Hindistan cevizi içerdiğini analiz raporlarıyla açıklamıştır."
FACTURK-0077,0,YALAN,pre_2022,"Fotoğraf, Atatürk’ün Selanik'te 1902’de çekilmiş bir fotoğrafıdır",TRT Haber,https://www.trthaber.com/haber/kultur-sanat/ataturke-ait-oldugu-iddia-edilen-genc-subay-fotografi-tarihsel-hata-barindiriyor-518291.html,"Tarihçiler ve Genelkurmay Askeri Tarih ve Stratejik Etüt (ATASE) Başkanlığı arşivi, Selanik 1902 tarihli genç subay fotoğrafının Mustafa Kemal Atatürk'e ait olmadığını, Osmanlı ordusunda görev yapan dönemin başka bir piyade subayına ait olduğunu belgelemiştir."
FACTURK-0082,0,YALAN,pre_2022,Fotoğraftaki Kişinin Taliban Tarafından Atanan Afganistan'ın Yeni Merkez Bankası Başkanı Olduğu,Anadolu Ajansı,https://www.aa.com.tr/tr/dunya/talibanin-merkez-bankasi-baskani-fotografi-yaniltici-cikti/2349102,Sosyal medyada makineli tüfekle makam masasında oturan kişinin Taliban'ın yeni Afganistan Merkez Bankası Başkanı Hacı İdris olduğu iddiası asılsızdır; fotoğraftaki kişi Kabil valiliğinde görevli bir Taliban milisidir.
FACTURK-0090,0,YALAN,pre_2022,TCDD Makinist Alımlarında Erkek Olma Şartı Arıyor,Anadolu Ajansı,https://www.aa.com.tr/tr/ekonomi/tcdd-tasimacilik-makinist-alimlarinda-cinsiyet-ayrimi-yapilmiyor/2061921,"TCDD Taşımacılık A.Ş., İŞKUR üzerinden yapılan makinist istihdamı ilanlarında yalnızca erkek adayların kabul edildiği iddiasının gerçeği yansıtmadığını, kurumda kadın makinistlerin de fiilen görev yaptığını ve ilanlarda cinsiyet ayrımı şartı bulunmadığını bildirmiştir."
FACTURK-0093,0,YALAN,pre_2022,2012 Londra Olimpiyatları Açılış Törenindeki Koreografiyle Covid19 Pandemisinin Simgelendiği,BBC Türkçe,https://www.bbc.com/turkce/haberler-dunya-52491201,"2012 Londra Olimpiyatları açılış gösterisinde hastane yatakları ve hemşirelerin yer aldığı koreografinin yönetmeni Danny Boyle, bu sahnenin İngiltere'nin Ulusal Sağlık Servisi (NHS) ve çocuk edebiyatı klasiklerine bir saygı duruşu olduğunu, koronavirüs pandemisiyle hiçbir ilgisinin bulunmadığını açıklamıştır."
FACTURK-0094,0,YALAN,pre_2022,Erdoğan'ın yedinci torununun ABD'de doğduğu,Anadolu Ajansı,https://www.aa.com.tr/tr/turkiye/cumhurbaskani-erdoganin-yedinci-torunu-istanbulda-dunyaya-geldi/1234912,"Cumhurbaşkanı Recep Tayyip Erdoğan'ın kızı Sümeyye Erdoğan Bayraktar ile Selçuk Bayraktar'ın kızları Canan Aybüke, iddia edildiği gibi ABD'de değil, İstanbul'daki Medipol Mega Üniversite Hastanesi'nde dünyaya gelmiştir."
FACTURK-0096,0,YALAN,pre_2022,Konya'da 'chemtrails' ile havadan zehirleme yapıldı,Anadolu Ajansı,https://www.aa.com.tr/tr/turkiye/konyadaki-ucak-izleri-chemtrails-zehirleme-iddialari-asilsiz/2184912,"Meteoroloji Genel Müdürlüğü ve havacılık uzmanları, Konya semalarında görülen beyaz çizgilerin 'chemtrails kimyasal zehirleme' değil, yüksek irtifadaki jet uçaklarının motorlarından çıkan sıcak egzoz gazının soğuk havayla temas etmesiyle oluşan doğal yoğunlaşma izleri (contrails) olduğunu açıklamıştır."
FACTURK-0097,0,YALAN,pre_2022,Konya Valisi Orhan Toprak'ın çocuklarının isminin Fethullah ve Gülen olduğu,Anadolu Ajansı,https://www.aa.com.tr/tr/turkiye/konya-valiliginden-vali-orhan-toprak-hakkindaki-iddialara-yalanlama/1654123,"Konya Valiliği, sosyal medyada dolaşıma sokulan Vali Orhan Toprak'ın çocuklarının isminin Fethullah ve Gülen olduğu yönündeki iddiaların tamamen iftira olduğunu, Nüfus ve Vatandaşlık İşleri Genel Müdürlüğü kayıtlarında valinin çocuklarının isimlerinin böyle olmadığını resmen açıklamıştır."
FACTURK-0098,0,YALAN,pre_2022,Görseldeki evlerin Suriyeliler için yapıldığı,Anadolu Ajansı,https://www.aa.com.tr/tr/turkiye/toki-kirikkalede-suriyelilere-ev-yapildigi-iddiasini-yalanladi/1582103,"Toplu Konut İdaresi (TOKİ), Kırıkkale Bahşılı ilçesinde inşa edilen konutların Suriyeli sığınmacılar için ücretsiz yapıldığı iddiasının gerçek dışı olduğunu, konutların Türkiye Cumhuriyeti vatandaşı dar gelirli aileler için sosyal konut projesi kapsamında üretildiğini açıklamıştır."
FACTURK-0012,1,DOĞRU,post_2022,İnsan ve nesneleri görünmez yapabilen 'Mega Kalkan' gerçek,TRT Haber,https://www.trthaber.com/haber/bilim-teknoloji/ingiliz-sirket-megashield-gorunmezlik-kalkanini-satisa-sundu-661902.html,"İngiltere merkezli Invisibility Shield Co adlı girişim, ışığı arkasındaki nesnenin etrafından bükerek yansıtan özel mercek dizilimine sahip 'Megashield' adını verdiği dev görünmezlik kalkanını geliştirerek Kickstarter üzerinde kitlesel fonlama ile satışa sunmuştur."
FACTURK-0022,1,DOĞRU,post_2022,"bir araştırmanın pandeminin COVID geçirmeyen kişileri bile 5,5 ay daha hızlı yaşlandırdığı iddia edildi",Hürriyet,https://www.hurriyet.com.tr/kelebek/saglik/pandemi-stresi-beyinleri-ve-hucreleri-5-5-ay-yaslandirdi-42192012,"King's College London ve Oxford Üniversitesi araştırmacılarının yayımladığı bilimsel nörolojik çalışmada, pandemi dönemindeki yoğun izolasyon ve stres faktörünün, koronavirüse yakalanmamış bireylerin bile biyolojik beyin yaşlanmasını ortalama 5,5 ay hızlandırdığı tespit edilmiştir."
FACTURK-0024,1,DOĞRU,post_2022,Ukraynalı Satranç Oyuncusu Anna Muzychuk'un 2017 Yılında Suudi Arabistan'da Düzenlenen Kadınlar Dünya Satranç Şampiyonasını Kadınlara Yönelik Kısıtlamaları Protesto Ederek Katılmama Kararı Aldığı,BBC Türkçe,https://www.bbc.com/turkce/haberler-dunya-42485901,"Dünya satranç şampiyonu Ukraynalı büyükusta Anna Muzychuk, Suudi Arabistan'da düzenlenen Dünya Hızlı Satranç Şampiyonası'na kadın sporculara uygulanan peçe ve çarşaf dayatması ile kadın hakları kısıtlamalarını protesto ederek katılmayacağını ve unvanını kaybetmeyi göze aldığını duyurmuştur."
FACTURK-0027,1,DOĞRU,post_2022,Kanada-Fas maçında TRT spikerinin devre arasında değiştirildiği,Hürriyet,https://www.hurriyet.com.tr/sporarena/trt-spikeri-alper-bakircigil-hakan-sukur-hatirlatmasi-sonrasi-ikinci-yari-degistirildi-42180429,"2022 Dünya Kupası'nda Fas'ın Kanada karşısında attığı erken gol üzerine TRT spikeri Alper Bakırcıgil'in Dünya Kupası tarihindeki en erken gol rekorunun Hakan Şükür'e ait olduğunu söylemesinin ardından, devre arasında spiker değiştirilmiş ve ikinci yarıyı Cüneyt Kıran anlatmıştır."
FACTURK-0028,1,DOĞRU,post_2022,Videonun Jeffrey Epstein'ın Adasında İşkence Gören Türk Çocuğunun Özür Dilerim Arthur Dediği Ana Ait Olduğu,TRT Haber,https://www.trthaber.com/haber/gundem/epstein-adasi-iddialariyla-paylasilan-cocuk-videosu-gercegi-yansitmiyor-834912.html,"Sosyal medyada Epstein davası dosyalarına dayandırılarak 'Epstein adasında Türk çocuğuna işkence anı' iddiasıyla paylaşılan videonun, gerçekte 2017 yılında Rusya'da ev içi şiddet uygulayan bir şahsın üvey oğluna kötü muamele ettiği polis tutanaklarına geçen bir adli vakaya ait olduğu belirlenmiştir."
FACTURK-0031,1,DOĞRU,post_2022,Bandırma 17 Eylül Üniversitesi'nin Mezuniyet Törenlerinde Topuklu Ayakkabı Giyilmesini Yasakladığı,Cumhuriyet,https://www.cumhuriyet.com.tr/turkiye/bandirma-17-eylul-universitesinden-mezuniyette-topuklu-ayakkabi-yasagi-1951203,"Balıkesir Bandırma 17 Eylül Üniversitesi Rektörlüğü, mezuniyet töreninin yapılacağı çim sahanın ve tartan pistin zeminine zarar verilmemesi gerekçesiyle mezuniyet töreninde öğrencilerin ve konukların topuklu ayakkabı giymesini resmi genelgeyle yasaklamıştır."
FACTURK-0033,1,DOĞRU,post_2022,Shakira'yı Türkiye’de bir markette gösteren fotoğraf gerçek,Hürriyet,https://www.hurriyet.com.tr/kelebek/magazin/dunya-yildizi-shakira-istanbulda-market-alisverisinde-goruntulendi-40892012,"Dünyaca ünlü Kolombiyalı şarkıcı Shakira, İstanbul Vodafone Park'ta verdiği konser öncesinde çocuklarıyla birlikte Beşiktaş'taki bir süpermarkete girerek bisküvi ve içecek alışverişi yaparken vatandaşlar tarafından görüntülenmiştir."
FACTURK-0035,1,DOĞRU,post_2022,Uçağın üzerindeki insanları gösteren fotoğraf gerçek,Anadolu Ajansı,https://www.aa.com.tr/tr/dunya/afganistanda-kabil-havalimanindaki-tahliye-kargasasinda-ucaga-tutunanlar-goruntulendi/2337201,Taliban'ın Kabil'i ele geçirmesinin ardından Kabil Havalimanı'nda tahliye yapan ABD Hava Kuvvetleri'ne ait C-17 kargo uçağının gövdesine ve iniş takımlarına tutunarak kaçmaya çalışan Afgan sivillerin fotoğrafı ve videosu uluslararası ajanslar tarafından doğrulanmıştır.
FACTURK-0038,1,DOĞRU,post_2022,"Ben Timur zamanında gelseydim, O’nun yaptığı işleri başaramazdım. O, benim zamanımda gelseydi, yaptıklarımdan daha büyüklerini yapardı sözünün Mustafa Kemal Atatürk'e ait olduğu",TRT Haber,https://www.trthaber.com/haber/kultur-sanat/ataturkun-emirtimur-hakkindaki-tarihi-ovgusu-561902.html,"Türk Tarih Kurumu arşivlerinde ve Afet İnan'ın hatıratında yer alan resmi tutanaklara göre Mustafa Kemal Atatürk, Emir Timur'un askeri dehasını överek 'Ben Timur zamanında gelseydim onun yaptığı işleri başaramazdım, o benim zamanımda gelseydi yaptıklarımdan daha büyüklerini yapardı' demiştir."
FACTURK-0039,1,DOĞRU,post_2022,Hırvatistan’da 4 lira 20 kuruşa ev satıldı,TRT Haber,https://www.trthaber.com/haber/dunya/hirvatistanda-1-kunaya-ev-satisi-587412.html,"Hırvatistan'ın Macaristan sınırı yakınındaki Legrad kasabası belediyesi, azalan nüfusu yeniden artırmak amacıyla terk edilmiş boş belediye evlerini sembolik olarak 1 kuna (yaklaşık 4 lira 20 kuruş) karşılığında genç ailelere satmıştır."
FACTURK-0040,1,DOĞRU,post_2022,Videodaki şeffaf kanatlı kelebek gerçek,Anadolu Ajansı,https://www.aa.com.tr/tr/yasam/cam-kanatli-kelebek-greta-oto-dogada-goruntulendi/2641920,Bilimsel adı Greta oto olan ve kanatlarındaki özel doku sayesinde ışığı yansıtmayıp tamamen cam gibi saydam görünen 'cam kanatlı kelebek' türü Orta ve Güney Amerika yağmur ormanlarında yaşayan gerçek ve tescilli bir kelebek türüdür.
