claim_id,year,date_published,organisation,gold_label,final_verdict,abstained,is_correct,is_neutral,source_url
FACTURK-0041,2018,2018-11-23T00:00:00+00:00,Teyit,1,YALAN,False,False,True,https://teyit.org/analiz/fotografin-erdogan-ve-sorosu-ayni-masada-gosterdigi-iddiasi
FACTURK-0042,2025,2025-03-16T00:00:00+00:00,Malumatfuruş,0,YETERSİZ VERİ,True,False,True,https://www.malumatfurus.org/en-uzun-sure-oruc-tutan/
FACTURK-0043,2022,2022-06-13T14:05:41+00:00,Doğrula,0,YETERSİZ VERİ,True,False,True,https://www.dogrula.org/dogrulamalar/rus-guclerinin-ele-gecirdigi-mariupol-sehrine-sovyetler-birligi-bayragi-diktigi-iddiasi/
FACTURK-0044,2022,2022-03-01T13:53:39+00:00,Doğruluk Payı,0,YALAN,False,True,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/video-terk-edilmis-rus-tanklarinin-nasil-kullanilacagini-ogreten-ukraynali-kadini-mi-gosteriyor
FACTURK-0045,2022,2022-08-29T17:31:09+00:00,Doğrula,0,YALAN,False,True,True,https://www.dogrula.org/dogrulamalar/kamyon-ucurum/
FACTURK-0046,2018,2018-12-20T00:00:00+00:00,Teyit,1,DOĞRU,False,True,False,https://teyit.org/analiz/istanbul-havalimaninin-santiye-alanini-su-bastigi-iddiasi
FACTURK-0047,2016,2016-07-01T00:00:00+00:00,Teyit,1,YETERSİZ VERİ,True,False,True,https://teyit.org/analiz/aksam-ataturk-havalimani-guvenli-haberini-saldirinin-ardindan-kaldirdi
FACTURK-0048,2022,2022-10-12T00:00:00+00:00,Teyit,0,YALAN,False,True,False,https://teyit.org/analiz/gorseldeki-burc-isimlerinin-osmanli-devletinde-kullanildigi-iddiasi
FACTURK-0049,2026,2026-02-05T00:00:00+00:00,Teyit,1,YETERSİZ VERİ,True,False,True,https://teyit.org/analiz/epstein-ile-suudi-veliaht-prensi-selmanin-fotografi-dosyalarda-mi-yer-aliyor
FACTURK-0050,2025,2025-11-26T12:44:47+00:00,Doğruluk Payı,0,YALAN,False,True,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/ordinaryus-profesor-resat-kaynar-in-latife-hanim-in-mektuplari-hakkinda-itiraf-aciklamalari-dogru-mu
FACTURK-0051,2021,2021-06-27T00:00:00+00:00,Malumatfuruş,0,DOĞRU,False,False,False,https://www.malumatfurus.org/koronavirus-izole/
FACTURK-0052,2024,2024-01-30T15:22:42+00:00,Doğruluk Payı,1,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/icecek-endustrisi-analisti-garrett-nelson-un-coca-cola-nin-turkiye-deki-satislarindaki-dususun-tehlikeye-isaret-ettigini-soyledigi-dogru-mu
FACTURK-0053,2025,2025-03-18T11:40:20+00:00,Doğruluk Payı,1,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/gorsel-hurriyet-in-formula-1-ile-ilgili-hatali-haberini-mi-gosteriyor
FACTURK-0054,2024,2024-06-12T00:00:00+00:00,Teyit,0,YETERSİZ VERİ,True,False,True,https://teyit.org/analiz/cheetosun-seklini-maskotunun-testislerinden-aldigi-iddiasi
FACTURK-0055,2021,2021-07-27T14:56:48+00:00,Doğruluk Payı,1,DOĞRU,False,True,False,https://www.dogrulukpayi.com/dogruluk-kontrolu/konya-seker-in-17-milyar-863-milyon-tl-borcu-oldugu-iddiasi
FACTURK-0056,2016,2016-06-21T19:28:05+00:00,Günün Yalanları,0,DOĞRU,False,False,False,https://gununyalanlari.com/yalan/483-oda-tvnin-hacibayramdaki-augustus-tapinagina-is-makineleri-girdi-yalani
FACTURK-0057,2026,2026-02-13T16:58:18+00:00,Doğruluk Payı,0,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/gorsel-epstein-in-1999-depremi-oncesi-istanbul-a-geldigini-mi-gosteriyor
FACTURK-0058,2021,2021-01-27T00:00:00+00:00,Malumatfuruş,0,DOĞRU,False,False,False,https://www.malumatfurus.org/kopek-cita-yarisi/
FACTURK-0059,2020,2020-08-08T11:06:55+00:00,Günün Yalanları,0,YALAN,False,True,False,https://gununyalanlari.com/yalan/2651-okullarda-pandemi-nedeniyle-resim-ve-muzik-dersleri-kaldirilacak-yalani
FACTURK-0060,2020,2020-08-04T00:00:00+00:00,Teyit,0,YALAN,False,True,False,https://teyit.org/analiz/lubnandaki-patlamayi-isidin-ustlendigi-iddiasi
FACTURK-0061,2023,2023-11-29T00:00:00+00:00,Malumatfuruş,1,YETERSİZ VERİ,True,False,True,https://www.malumatfurus.org/gunes-yaslanmasi/
FACTURK-0062,2024,2024-10-28T00:00:00+00:00,Malumatfuruş,0,YETERSİZ VERİ,True,False,True,https://www.malumatfurus.org/enkaz-altinda-kalan-bebek/
FACTURK-0063,2015,2015-06-27T08:52:58+00:00,Yalansavar,0,YETERSİZ VERİ,True,False,True,https://yalansavar.org/2015/06/27/nobel-hastaligi-baltayi-tasa-vuran-otoriteler/
FACTURK-0064,2022,2022-12-29T00:00:00+00:00,Teyit,0,YALAN,False,True,True,https://teyit.org/analiz/gorselin-ekmek-caldigi-iddiasiyla-mahkemeye-cikarilan-cocugu-gosterdigi-iddiasi
FACTURK-0065,2018,2018-06-24T00:00:00+00:00,Teyit,1,YETERSİZ VERİ,True,False,False,https://teyit.org/analiz/icisleri-bakanligi-logosu-bulunan-secim-gorevlisi-kartlariyla-ilgili-iddia
FACTURK-0066,2021,2021-01-18T13:17:26+00:00,Doğruluk Payı,1,YETERSİZ VERİ,True,False,False,https://www.dogrulukpayi.com/dogruluk-kontrolu/japonya-osaka-da-hamidiye-markali-su-satildigi-iddiasi
FACTURK-0067,2022,2022-06-17T21:00:23+00:00,Doğrula,0,YALAN,False,True,False,https://www.dogrula.org/dogrulamalar/yunanistan-basbakaninin-yer-aldigi-video-kaydi-2020ye-ait/
FACTURK-0068,2024,2024-07-10T15:00:36+00:00,Doğruluk Payı,0,DOĞRU,False,False,False,https://www.dogrulukpayi.com/dogruluk-kontrolu/mcdonald-s-boykot-sebebiyle-misir-dan-cekiliyor-mu
FACTURK-0069,2018,2018-08-21T00:00:00+00:00,Teyit,1,YALAN,False,False,False,https://teyit.org/analiz/yerli-tutun-kullaniminin-14-yil-icinde-yuzde-42den-yuzde-12ye-geriledigi-iddiasi
FACTURK-0070,2024,2024-04-11T00:00:00+00:00,Teyit,1,DOĞRU,False,True,False,https://teyit.org/analiz/kayanin-altindaki-binalari-gosteren-fotograf-gercek-mi
FACTURK-0071,2023,2023-02-08T09:12:30+00:00,Doğrula,0,YETERSİZ VERİ,True,False,True,https://www.dogrula.org/dogrulamalar/goruntulerin-kahramanmarasin-deprem-oncesi-ve-sonrasini-gosterdigi-iddiasi/
FACTURK-0072,2021,2021-03-01T20:15:53+00:00,Doğruluk Payı,1,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/gorselde-yer-alan-covid-19-asilarinin-etkinlik-oranlarinin-oldugu-iddiasi
FACTURK-0073,2021,2021-09-17T15:18:34+00:00,Doğruluk Payı,0,YALAN,False,True,False,https://www.dogrulukpayi.com/dogruluk-kontrolu/gorselin-afganistanli-grafiti-sanatcisi-shamsia-hassani-ye-ait-bir-calisma-oldugu-iddiasi
FACTURK-0074,2021,2021-06-23T15:16:43+00:00,Doğruluk Payı,1,DOĞRU,False,True,False,https://www.dogrulukpayi.com/dogruluk-kontrolu/matrix-teki-kodlarin-anlaminin-susi-tarifi-oldugu-iddiasi
FACTURK-0075,2023,2023-06-15T00:00:00+00:00,Malumatfuruş,0,YETERSİZ VERİ,True,False,True,https://www.malumatfurus.org/kus-takip-cihazi/
FACTURK-0076,2021,2021-02-15T00:00:00+00:00,Malumatfuruş,0,YALAN,False,True,False,https://www.malumatfurus.org/coco-star-beyazlatilmis-havuc/
FACTURK-0077,2021,2021-12-29T10:14:01+00:00,Doğruluk Payı,0,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/mustafa-kemal-in-selanik-tren-gari-ndaki-fotografi-1902-yilina-mi-ait
FACTURK-0078,2022,2022-07-01T18:41:31+00:00,Doğrula,1,YALAN,False,False,False,https://www.dogrula.org/dogrulamalar/turkiyenin-internet-hizinda-103-sirada-oldugu-iddiasi/
FACTURK-0079,2023,2023-12-21T00:00:00+00:00,Malumatfuruş,0,YALAN,False,True,True,https://www.malumatfurus.org/temel-reis-frank-fiegel/
FACTURK-0080,2023,2023-03-03T10:17:24+00:00,Doğrula,0,DOĞRU,False,False,False,https://www.dogrula.org/dogrulamalar/videonun-almanyada-nazizm-sembolune-boyanmis-abd-tanklarini-gosterdigi-iddiasi/
FACTURK-0081,2023,2023-08-21T00:00:00+00:00,Teyit,1,DOĞRU,False,True,False,https://teyit.org/analiz/videodaki-yildirim-goruntusu-gercek-mi
FACTURK-0082,2021,2021-09-10T00:00:00+00:00,Malumatfuruş,0,YETERSİZ VERİ,True,False,True,https://www.malumatfurus.org/afganistanin-yeni-merkez-bankasi-baskani/
FACTURK-0083,2024,2024-02-23T00:00:00+00:00,Teyit,1,YALAN,False,False,True,https://teyit.org/analiz/fotograf-brezilyadaki-tek-bir-kaju-agacini-mi-gosteriyor
FACTURK-0084,2023,2023-02-14T00:00:00+00:00,Malumatfuruş,1,YETERSİZ VERİ,True,False,True,https://www.malumatfurus.org/ataturke-atfedilen-kaza-ve-kader-talih-ve-tesaduf-tabirleri-arapcadir-turkleri-alakadar-etmez-sozu/
FACTURK-0085,2021,2021-03-05T16:35:13+00:00,Doğruluk Payı,1,YALAN,False,False,False,https://www.dogrulukpayi.com/dogruluk-kontrolu/ingiliz-maresal-birdwood-un-ataturk-un-cenazesini-ayakta-selamladigi-iddiasi
FACTURK-0086,2020,2020-12-17T11:46:36+00:00,Doğruluk Payı,1,YALAN,False,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/konya-tuzlukcu-belediyesi-nin-asgari-ucreti-4-bin-500-tl-yaptigi-iddiasi
FACTURK-0087,2024,2024-02-29T00:00:00+00:00,Teyit,1,DOĞRU,False,True,False,https://teyit.org/analiz/seffaf-ekranli-dizustu-bilgisayar-gercek-mi
FACTURK-0088,2023,2023-12-26T00:00:00+00:00,Teyit,1,DOĞRU,False,True,False,https://teyit.org/analiz/fosforlu-kediler-gercek-mi
FACTURK-0089,2019,2019-12-24T00:00:00+00:00,Teyit,1,DOĞRU,False,True,False,https://teyit.org/analiz/cinin-dogu-turkistan-politikalarinin-arastirilmasi-onergesinin-ak-parti-oylariyla-reddedildigi-iddiasi
FACTURK-0090,2017,2017-09-08T09:14:15+00:00,Günün Yalanları,0,YALAN,False,True,False,https://gununyalanlari.com/yalan/639-tcdd-makinist-alimlarinda-erkek-olma-sarti-ariyor-yalani
FACTURK-0091,2020,2020-06-14T00:00:00+00:00,Teyit,1,YALAN,False,False,True,https://teyit.org/analiz/goruntulerin-kirsehirde-diyarbakir-tatli-salonuna-ismi-nedeniyle-duzenlenen-saldiriyi-gosterdigi-iddiasi
FACTURK-0092,2023,2023-12-14T16:35:33+00:00,Doğruluk Payı,0,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/video-kamplardan-kacan-israil-askerlerini-mi-gosteriyor
FACTURK-0093,2021,2021-12-04T00:00:00+00:00,Malumatfuruş,0,DOĞRU,False,False,False,https://www.malumatfurus.org/2012-londra-olimpiyat-toreni-covid/
FACTURK-0094,2019,2019-06-11T00:00:00+00:00,Teyit,0,YETERSİZ VERİ,True,False,True,https://teyit.org/analiz/erdoganin-7-torununun-abdde-dogdugu-iddiasi
FACTURK-0095,2019,2019-04-07T00:00:00+00:00,Teyit,1,YETERSİZ VERİ,True,False,True,https://teyit.org/analiz/a-haberin-secim-analisti-olarak-ekrana-cikardigi-kenan-demirin-kebapci-oldugu-iddiasi
FACTURK-0096,2021,2021-03-18T00:00:00+00:00,Teyit,0,YETERSİZ VERİ,True,False,True,https://teyit.org/analiz/konyada-chemtrails-ile-havadan-zehirleme-yapildigi-iddiasi
FACTURK-0097,2019,2019-11-29T00:00:00+00:00,Teyit,0,YETERSİZ VERİ,True,False,True,https://teyit.org/analiz/konya-valisi-orhan-toprakin-cocuklarinin-isminin-fethullah-ve-gulen-oldugu-iddiasi
FACTURK-0098,2021,2021-02-04T14:02:47+00:00,Doğruluk Payı,0,DOĞRU,False,False,False,https://www.dogrulukpayi.com/dogruluk-kontrolu/gorseldeki-evlerin-suriyeliler-icin-yapildigi-iddiasi
FACTURK-0099,2023,2023-04-20T00:00:00+00:00,Malumatfuruş,0,YALAN,False,True,True,https://www.malumatfurus.org/dudullu-bostanci-metro-hatti-insaat/
FACTURK-0100,2022,2022-01-14T16:03:57+00:00,Doğruluk Payı,1,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/japonya-da-lavabo-tuvalete-bagli-mi
FACTURK-0101,2025,2025-05-13T12:07:01+00:00,Doğruluk Payı,0,YALAN,False,True,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/video-teknedeki-insanlarin-dev-dalgalar-altinda-kaldigi-anlari-mi-gosteriyor
FACTURK-0102,Bilinmiyor,Bilinmiyor,Doğrula,0,YETERSİZ VERİ,True,False,True,https://www.dogrula.org/dogrulamalar/bill-gatesin-fonladigi-dunya-sivrisinek-programiyla-ilgili-salgin-iddialari/
FACTURK-0103,2023,2023-01-25T00:00:00+00:00,Malumatfuruş,0,YETERSİZ VERİ,True,False,True,https://www.malumatfurus.org/kor-buz-patencisi/
FACTURK-0104,2017,2017-11-24T00:00:00+00:00,Teyit,1,DOĞRU,False,True,False,https://teyit.org/analiz/japonyada-gorevlilerin-yolculari-metroya-sigdirmaya-calistigi-iddiasi
FACTURK-0105,2016,2016-12-05T00:00:00+00:00,Teyit,1,YETERSİZ VERİ,True,False,True,https://teyit.org/analiz/ganada-sahte-abd-buyukelciligi-acildigi-iddiasi
FACTURK-0106,2020,2020-07-09T00:00:00+00:00,Teyit,1,DOĞRU,False,True,False,https://teyit.org/analiz/fotograflarin-silede-yasanan-su-kesintisini-gosterdigi-iddiasi
FACTURK-0107,2022,2022-03-04T16:59:19+00:00,Doğruluk Payı,0,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/ukraynali-model-anastasia-lenna-rusya-ya-karsi-ukrayna-ordusuna-mi-katildi
FACTURK-0108,2019,2019-04-25T00:00:00+00:00,Teyit,1,YETERSİZ VERİ,True,False,False,https://teyit.org/analiz/videonun-iki-turkun-abdde-mahkemeye-ciktigini-gosterdigi-iddiasi
FACTURK-0109,2022,2022-05-29T00:00:00+00:00,Malumatfuruş,0,YETERSİZ VERİ,True,False,False,https://www.malumatfurus.org/dunyanin-ilk-cocuk-hastanesi/
FACTURK-0110,2023,2023-02-13T07:00:15+00:00,Doğrula,0,YALAN,False,True,False,https://www.dogrula.org/dogrulamalar/milano-baskonsoloslugunun-deprem-yardimlari-icin-yalnizca-diyanet-vakfini-gosterdigi-iddiasi/
FACTURK-0111,2024,2024-08-16T10:06:43+00:00,Doğrula,1,YETERSİZ VERİ,True,False,True,https://www.dogrula.org/dogrulamalar/portekiz-sokaklarinda-sarap-aktigi-iddiasi/
FACTURK-0112,2022,2022-10-25T13:26:15+00:00,Doğruluk Payı,0,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/trende-cinsel-iliskiye-giren-kisilerin-videosu-ingiltere-den-mi
FACTURK-0113,2017,2017-06-29T00:00:00+00:00,Teyit,0,YALAN,False,True,False,https://teyit.org/analiz/arjantinde-yasayan-128-yasindaki-adamin-adolf-hitler-oldugu-iddiasi
FACTURK-0114,2023,2023-10-19T00:00:00+00:00,Teyit,1,YALAN,False,False,True,https://teyit.org/analiz/gorselin-1947-yilinda-yahudilerin-filistine-varisini-gosterdigi-iddiasi
FACTURK-0115,2023,2023-09-11T00:00:00+00:00,Teyit,1,DOĞRU,False,True,False,https://teyit.org/analiz/fotografin-kibrista-turk-bayragiyla-poz-veren-rum-birlikleri-gosterdigi-iddiasi
FACTURK-0116,2023,2023-12-26T00:00:00+00:00,Teyit,1,YALAN,False,False,True,https://teyit.org/analiz/video-aynali-pele-kostumu-giyen-bir-taraftari-mi-gosteriyor
FACTURK-0117,2021,2021-02-03T00:00:00+00:00,Teyit,1,DOĞRU,False,True,False,https://teyit.org/analiz/aerobik-dersi-veren-kadin-myanmardaki-darbeyi-kaydetti
FACTURK-0118,2023,2023-06-02T00:00:00+00:00,Malumatfuruş,1,YETERSİZ VERİ,True,False,True,https://www.malumatfurus.org/uc-esli/
FACTURK-0119,2022,2022-01-24T00:00:00+00:00,Malumatfuruş,0,YALAN,False,True,True,https://www.malumatfurus.org/ucurumun-kenarinda-u-donusu-yapan-araba/
FACTURK-0120,2021,2021-06-22T00:00:00+00:00,Teyit,0,YALAN,False,True,True,https://teyit.org/analiz/fotografin-yerli-ve-milli-rt-1453-adli-ucagi-gosterdigi-iddiasi
FACTURK-0121,2022,2022-07-12T00:00:00+00:00,Malumatfuruş,0,YETERSİZ VERİ,True,False,True,https://www.malumatfurus.org/turkiye-cumhuriyeti-devleti-ben-turk-degilim-ama/
FACTURK-0122,2022,2022-05-09T14:10:48+00:00,Doğruluk Payı,0,YALAN,False,True,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/kuzey-kutbu-nda-cekildigi-iddia-edilen-ay-videosu-gercek-mi
FACTURK-0123,2024,2024-11-26T00:00:00+00:00,Teyit,1,YALAN,False,False,False,https://teyit.org/analiz/enflasyonla-mucadele-kanada-vergi-tatili-mi-ilan-etti
FACTURK-0124,2024,2024-10-07T14:56:58+00:00,Doğruluk Payı,0,DOĞRU,False,False,False,https://www.dogrulukpayi.com/dogruluk-kontrolu/video-hindistan-daki-israil-buyukelciligi-ne-yapilan-saldiriyi-mi-gosteriyor
FACTURK-0125,2020,2020-07-15T00:00:00+00:00,Teyit,1,DOĞRU,False,True,False,https://teyit.org/analiz/resmin-bulgar-ve-yunan-askerleri-turk-askerinin-fesine-hac-cizerken-gosterdigi-iddiasi
FACTURK-0126,2021,2021-05-25T15:40:14+00:00,Doğruluk Payı,1,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/turkiye-nin-avrupa-nin-en-buyuk-plastik-atik-coplugu-haline-geldigi-iddiasi
FACTURK-0127,2021,2021-06-02T00:00:00+00:00,Malumatfuruş,0,YETERSİZ VERİ,True,False,True,https://www.malumatfurus.org/bir-de-kuslar-var-hakim-bey-her-seyin-basi-onlar-dizelerinin-ahmed-arife-ait-oldugu-iddiasi/
FACTURK-0128,2024,2024-11-27T15:55:58+00:00,Doğruluk Payı,1,YALAN,False,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/meyve-etiketlerindeki-kodlarin-anlami-hakkindaki-iddialar-dogru-mu
