claim_id,claim_text
G0089,Türkiye'de kişi başı gelir verileri güncellendi.
G0090,"Bu aşı cinsel işlev bozukluğuna yol açıyor, kanıtlandı."
G0091,Milli Eğitim yabancı dil derslerini tamamen kaldırıyor.
G0092,Türkiye Ukrayna tahıl anlaşmasına destek verdi.
G0093,TÜFE verileri Türk İstatistik Kurumu tarafından açıklandı.
G0094,Gazetecilerin yüzde 90'ı hükümet baskısıyla susmak zorunda kaldı.
G0095,Süper Lig'in yeni sezon fikstürü açıklandı.
G0096,"Bu görüntü Türkiye ormanı değil, Amazon yangını."
G0097,Doğu Anadolu'da kar yağışı etkili oldu.
G0098,"Türkiye Suriye'ye toprak verdi, anlaşma imzalandı."
G0099,BOTAŞ doğalgaz arzının kesintisiz süreceğini açıkladı.
G0100,"Koronavirüs aşısı içinde canlı takip çipi var, kanıtlandı!"
G0101,Türk kültür merkezi Londra'da açıldı.
G0102,Bu ilacı kullananlar ciddi yan etki yaşıyor.
G0103,Türkiye karbon nötrlük yol haritasını yayımladı.
G0104,Bunların hepsi sahte haber test cümlesidir - bu gerçek bir iddia değildir.
G0105,Türkiye çiftçi kayıt sistemini dijitalleştirdi.
G0106,TCMB politika faizini 150 baz puan artırdı.
G0107,Türkiye'de okul kitaplarından Atatürk'ün adı kaldırıldı.
G0108,Buzdolabında bekletilen su kanser yapıyor.
G0109,"Türkiye NATO'dan resmen çekildi, duyuru yapıldı."
G0110,Türkiye Rusya sınırında büyük askeri üs kurdu.
G0111,Türkiye'de yeni bir otoyol hizmete açıldı.
G0112,"Türkiye petrol buldu, dünya rezervlerinin yüzde 10'unu kapsıyor."
G0113,Sağlık Bakanlığı diyabet tarama programı başlattı.
G0114,Yeni yasayla emeklilerin tüm maaşları donduruldu.
G0115,Türkiye deniz kuvvetleri tatbikat tamamladı.
G0116,Türkiye'de elektrikli araç satışları artıyor.
G0117,Askeri personele maaş artışı yerine kesinti yapılıyor.
G0118,Tüm evcil hayvan sahipleri yıllık ruhsat almak zorunda.
G0119,Türkiye-İtalya ortaklığı kapsamında yeni proje imzalandı.
G0120,Yurt dışında yaşayan Türkler oy hakkını kaybetti.
G0121,Ankara'da 8.5 büyüklüğünde deprem olacağı kesinleşti!
G0122,"İstanbul'da tüm köprüler bu yıl kapatılacak, geçiş ücretleri artıyor."
G0123,İstanbul'da yeni kültür-sanat merkezi açıldı.
G0124,"Türkiye dünyada en hızlı büyüyen ekonomi oldu, IMF açıkladı."
G0125,Meclis gizli oturumda savaş ilan etme kararı aldı.
G0126,Milli takım Avrupa şampiyonası eleme turunda mücadele etti.
G0127,Türkiye güneş enerjisi üretiminde rekor kırdı.
G0128,Türkiye'de bağımsız denetim firması sayısı arttı.
G0129,Türk okçusu uluslararası yarışmada madalya kazandı.
G0130,Anayasa Mahkemesi bireysel başvuruya ilişkin kararını açıkladı.
G0131,"Bu fotoğraf Türkiye depremi değil, Afganistan savaşından."
G0132,Türkiye Avrupa hibe programlarına katılım sağladı.
G0133,"Bu haberler tamamen sahte, doğrulanamayan iddialar içeriyor."
G0134,Adalet Bakanlığı yargı reform paketini meclise sundu.
G0135,Bu ilaç şirketi kanser tedavisini kasıtlı olarak geciktiriyor.
G0136,"Türkiye 10 yıl içinde çölleşecek, rapor gizlendi."
G0137,"Türkiye çevresel çöküş sürecinde, uydu görüntüleri kanıtladı."
G0138,Kanada Türk vatandaşlarına vizeyi tamamen kaldırdı!
G0139,Türkiye Afrika ülkesine insani yardım gönderdi.
G0140,Hazine yeni tahvil ihracı yaptı.
G0141,"Çocuklara verilen aşılar onları steril yapıyor, gizli plan!"
G0142,İzmir'de doğal gaz sondajı başladı.
G0143,"Boğaziçi Üniversitesi kapatılıyor, öğrenciler nakledilecek."
G0144,Türk sanayici Orta Asya'da yatırım gerçekleştirdi.
G0145,Fenerbahçe-Galatasaray derbisi İstanbul'da oynandı.
G0146,Türkiye Borsa İstanbul'da işlem gören şirket sayısı arttı.
G0147,Gizli kararname: TikTok ve YouTube tamamen yasaklandı.
G0148,"İzmir depremi Yunanistan tarafından tetiklendi, delil var."
G0149,Bu şirkete yatırım yaparsanız kısa sürede paraya boğulursunuz.
G0150,"Zeytinyağı içmek kalp hastalığını tamamen önlüyor, kanıtlandı."
G0151,"Bu haberler manipüle edilmiş, kaynak güvenilir değil."
G0152,Türk yetkilileri gizlice tüm özel yazışmaları okuyor.
G0153,Hava sahası tüm yabancı uçuşlara kapatıldı.
G0154,Türkiye eğitimde öğretmen sayısını artırdı.
G0155,"Bu fotoğraf gerçek değil, yapay zeka tarafından üretildi."
G0156,TÜBİTAK ar-ge projesine fon tahsis etti.
G0157,Galatasaray Şampiyonlar Ligi'ne katılma hakkı kazandı.
G0158,Yeni konut projesine inşaat ruhsatı verildi.
G0159,DSÖ Kovid-19'un laboratuvarda yapıldığını açıkladı.
G0160,Yeni anket: Türklerin yüzde 80'i yurt dışına gitmek istiyor.
G0161,"Emekliler bu yıl maaş almayacak, fon açığı nedeniyle dondurma."
G0162,"Türkiye haritada yanlış gösteriliyordu, harita düzeltildi."
G0163,Türkiye'yi terk eden şirket sayısı geçen ay 5000'e ulaştı.
G0164,Türkiye Hazine ve Maliye Bakanlığı enflasyon verilerini açıkladı.
G0165,Mevlana'nın vefat yıl dönümü Konya'da törenle anıldı.
G0166,Türkiye su güvenliği politikasını güncelledi.
G0167,Savunma sanayii fuarı İstanbul'da açıldı.
G0168,Cumhurbaşkanlığı sarayında gizli tünel tespit edildi.
G0169,"Türkiye yeni bir kıta keşfetti, dünya haritaları yeniden çizilecek."
G0170,Rekabet Kurumu birleşme işlemine onay verdi.
G0171,Bu toplantıda CIA ve Türk yetkililer gizlice buluştu.
G0172,TRT yeni belgesel dizisinin yayın tarihini duyurdu.
G0173,"Kamu çalışanlarına yüzde 5 zam yapıldı, yıllık enflasyon 70%."
G0174,Anadolu Ajansı Suriye'deki gelişmeleri aktardı.
G0175,Türkiye futbol ligi fikstürü resmi olarak açıklandı.
G0176,"Alkol tamamen yasak olacak, resmi duyuru bekleniyor."
G0177,Türkiye'de organik tarım alanı arttı.
G0178,Türkiye-Pakistan arasında savunma iş birliği anlaşması yapıldı.
G0179,Türk hava savunma sistemi tatbikatı tamamlandı.
G0180,"Yerli otomobil Togg geri çağrıldı, güvenlik açığı tespit edildi."
G0181,Türk vatandaşları Schengen vizesi için DNA vermek zorunda.
G0182,"Güneş kremi zehirli maddeler içeriyor, kullanmayın!"
G0183,İstanbul havalimanı yolcu sayısı açıklandı.
G0184,Türkiye afet yönetimi sistemini dijitalleştirdi.
G0185,Türkiye deniz turizmi kapasitesini artırıyor.
G0186,"İstanbul'da balık tüketimi yasaklandı, Boğaz kirlilik alarmı."
G0187,"Tüm petrol araçlar yasaklanıyor, elektrikli araç zorunlu oluyor."
G0188,Türkiye spor altyapısına yatırım yapmaya devam ediyor.
G0189,"Tüm anketler yanlış, gerçekte AKP yüzde 20'yi geçemiyor."
G0190,Türk e-ticaret pazarı büyümeye devam ediyor.
G0191,BDDK kredi kartı limitlerini düzenleyen yeni genelge yayımladı.
G0192,Türk araştırmacılar uluslararası bilim ödülü kazandı.
G0193,Sanayi Bakanlığı yeni standart düzenlemeleri yürürlüğe koydu.
G0194,Yeni anayasayla cumhurbaşkanlığı ömür boyu sürecek.
G0195,Maden Teknik Arama yeni maden sahası tespit etti.
G0196,Türkiye'de liselerde ders saatleri yeniden düzenlendi.
G0197,Türkiye'de yüksek hızlı tren projesi devam ediyor.
G0198,Türk ekonomisine yönelik kredi notu değerlendirmesi açıklandı.
G0199,Suriye sınırından nükleer silah girişi engellendi.
G0200,İstanbul Havalimanı yeni terminal kapasitesini artırdı.
G0201,Sağlık Bakanlığı: Aspirin artık reçetesiz satılmayacak.
G0202,Türk lirası yakında tamamen dijitale geçiyor.
G0203,"Boğaz, her gece yarısı 2 saat trafiğe kapatılıyor."
G0204,AFAD afet müdahale kapasitesini güçlendiren raporu yayımladı.
G0205,Türkiye 2025'te en az 3 seçim yapacak.
G0206,Anadolu Ajansı Orta Doğu'daki son gelişmeleri aktardı.
G0207,Türkiye-Kazakistan ticaret hacmi rekora ulaştı.
G0208,THY'nin tüm uçuşları iflas sebebiyle durduruldu.
G0209,İstanbul'da 5.1 büyüklüğünde deprem meydana geldi.
G0210,Türkiye ziraat bankasını IMF'ye teminat verdi.
G0211,"Türk diplomatlar Belçika'dan kovuldu, büyükelçilik kapatıldı."
G0212,Siirt'te toplu gıda zehirlenmesi: 200 kişi hastanelik oldu.
G0213,"Tarih öğretmenlerinin hepsi görevden alınacak, yeni müfredat geliyor."
G0214,"Bu video Türkiye'den değil, 10 yıl önceki Irak savaşından."
G0215,"Cumhurbaşkanı, baraj açılış törenine katıldı."
G0216,"Türkiye Merkez Bankası iflas etti, dolar 100 liraya çıkıyor!"
G0217,"Türkiye Yunanistan savaşının eşiğinde, askeri harekat başladı."
G0218,İstanbul Teknik Üniversitesi yeni araştırma merkezi kurdu.
G0219,TBMM Genel Kurulu yeni torba yasayı kabul etti.
G0220,Enerji Bakanlığı yenilenebilir enerji kapasitesini açıkladı.
G0221,"FETÖ Türkiye'ye gizli operasyon düzenledi, devlet ele geçirildi."
G0222,Emniyet Teşkilatı uyuşturucu operasyonu sonuçlarını açıkladı.
G0223,"Ayvalık'ta denizden dev canavar çıktı, görüntüler şoke etti!"
G0224,Türk şirketi yurt dışında yeni ortaklık anlaşması imzaladı.
G0225,İnternetteki tüm içerikler sansürleniyor.
G0226,"Tüm okullarda yüz yüze eğitim kaldırılıyor, uzaktan eğitime geçiliyor."
G0227,Ankara'da yeni sanayi bölgesi kurulacak.
G0228,Türkiye'de e-devlet hizmetlerinin kullanımı arttı.
G0229,Yeni düzenlemeyle artık her daire için vergi alınacak.
G0230,Türk diasporası Almanya'da kültür etkinliği düzenledi.
G0231,Cumhurbaşkanı yarın olağanüstü hal ilan edecek.
G0232,Türkiye-AB ilişkileri kapsamında yeni çalışma grubu kuruldu.
G0233,Sosyal medyaya günde 6 saatten fazla girenler vergilendirilecek.
G0234,Türkiye'de 100 kişinin üzerinde maşa alan Yargıtay üyesi var.
G0235,"Bu ürünü kullananlar kansere yakalandı, piyasadan kaldırıldı!"
G0236,Alkali su içmek vücudu hastalıklardan tamamen koruyor.
G0237,Diyanet İşleri Başkanlığı ramazan programını duyurdu.
G0238,"Bu ilacın içeriğinde insan plasması var, skandal ortaya çıktı."
G0239,TÜİK verilerine göre işsizlik oranı yüzde 9.2 olarak açıklandı.
G0240,"Fırında pişen ekmekten kanser yapan madde çıkıyor, dikkat!"
G0241,Hükümet yüzde 200 vergi artışına gizlice onay verdi.
G0242,Türkiye dijital vatandaşlık uygulamasını hayata geçirdi.
G0243,TÜBİTAK'ta çalışan 500 bilim insanı toplu istifa etti.
G0244,Türkiye 2023 yılında 250 milyar dolar ihracat yaptı.
G0245,Nüfus artışını durdurmak için hükümetten gizli kararname.
G0246,Şeker hastalığı artık kolay bir iğneyle tamamen tedavi ediliyor.
G0247,Enerji Bakanlığı nükleer enerji yol haritasını açıkladı.
G0248,Sağlık Bakanlığı obezite ile mücadele eylem planı yayımladı.
G0249,"MHP oy oranı yüzde 2'ye düştü, liderlik krizine girdi."
G0250,Türk ihracat şirketleri Orta Doğu pazarına erişimini genişletti.
G0251,Türkiye'nin ihracat rakamları geçen yıla göre arttı.
G0252,"Bu köyde 150 yıldır kimse hasta olmuyor, suyunun sırrı araştırılıyor."
G0253,Türkiye Orta Asya ile ticaret hacmini artırdı.
G0254,"Sehrin suyuna ilaç karıştırılıyor, herkes şimdiden stok yapsın!"
G0255,Sağlık Bakanlığı kanser tarama merkezi sayısını artırdı.
G0256,Okul kantinlerindeki atıştırmalıklar tamamen yasaklanıyor.
G0257,Milli Eğitim Bakanlığı yeni müfredat taslağını yayımladı.
G0258,Türkiye Orta Doğu'daki barış sürecine aktif katkı sundu.
G0259,Tarım Bakanlığı sulama projelerini başlattı.
G0260,Türkiye'de 5G altyapı testleri tamamlandı.
G0261,Türk heyeti Brüksel'de AB yetkilileriyle görüştü.
G0262,"Yaz saati uygulaması tamamen kaldırıldı, saat geri alınıyor."
G0263,"Erdoğan istifasını açıkladı, Türkiye erken seçime gidiyor."
G0264,"Bu köyde 10 yıldır kimse ölmüyor, sırrı araştırıldı!"
G0265,Türkiye Avrupa ile göç anlaşmasını yeniledi.
G0266,İstanbul'daki bazı bölgelerde su kesintisi 10 gündür sürüyor.
G0267,"Bu çipten kanser tedavisi formülü keşfedildi, şirket satın aldı."
G0268,"Meral Akşener CHP'ye katıldı, birleşme kararı alındı."
G0269,Sağlık Bakanlığı bölgesel sağlık politikasını güncelledi.
G0270,Türk pazarı çevre dostu ürünlere artan talep gösteriyor.
G0271,"Bu video Türkiye'den değil, 5 yıl önceki Brezilya görüntüsü."
G0272,"Türkiye'de altın rezervi tükendi, duyurusu gizli tutuluyor."
G0273,Sağlık Bakanlığı: Maske takmayanlar artık para cezası ödemeyecek.
G0274,Doğalgaz faturaları bu ay iki katına çıkacak.
G0275,Türkiye'de elektrik kapasitesinin yüzde 50'si yenilenebilirden karşılanıyor.
G0276,Türk Silahlı Kuvvetleri terörle mücadele operasyonunu tamamladı.
G0277,Tarih öğretmeni bu fotoğrafın sahte olduğunu kanıtladı.
G0278,Türk Kızılay Suriye'ye yardım sevkiyatı gönderdi.
G0279,Türkiye-Azerbaycan siyasi görüşmesi gerçekleşti.
G0280,"Bu içerik doğrulanmamış iddialar içeriyor, lütfen paylaşmayın."
G0281,Türk bilim insanları Nature dergisinde makale yayımladı.
G0282,"Türkiye Google Maps'ten kaldırıldı, harita boşluk gösteriyor."
G0283,Tarım Bakanlığı buğday alım fiyatlarını güncelledi.
G0284,Yeni kanunla çiftçiler tarla sahipliğini kaybedecek.
G0285,Türkiye çelik ihracatında yeni pazar kazandı.
G0286,Türkiye mesleki eğitim reformu için kaynak tahsis etti.
G0287,İstanbul'da yaşayan 1 milyon kişi kayıt dışı seçmen.
G0288,AFAD Kahramanmaraş depremi hasar raporunu açıkladı.
G0289,"Bu fotoğraf İstanbul değil, Mumbai'de çekildi."
G0290,Meteoroloji Genel Müdürlüğü haftalık hava tahminini yayımladı.
G0291,EPDK elektrik fiyat tarifesini güncelledi.
G0292,İstanbul'da tramvay hattı genişledi.
G0293,Türkiye KKTC ile sosyal güvenlik anlaşması imzaladı.
G0294,Yeni eğitim sistemiyle yüksek lisans zorunlu hale geliyor.
G0295,İzmir'de gizlice inşa edilen nükleer reaktör tespit edildi.
G0296,Türk üniversitelerinin tamamı uluslararası akreditasyonunu kaybetti.
G0297,Türk ordusu gizlice Kuzey Irak'a girdi.
G0298,"Türkiye'nin ihracat rakamları sahte, gerçek 3 kat daha düşük."
G0299,Türk girişimciler ödüllü teknoloji fuarında yer aldı.
G0300,Bu rapor: Türkiye'de hava kirliliği dünyada 1. sıraya geçti.
G0301,"Elektrik faturasına gizli vergi eklendi, kimseye duyurulmadı."
G0302,"Bu seçim sonuçları manipüle edildi, bağımsız rapor yayımlandı."
G0303,Savunma sanayii yurt dışı ihracat rakamlarını açıkladı.
G0304,Türkiye şehir hastanesi kapasitesini artırdı.
G0305,"Başbakanlık sona eriyor, yeni makam oluşturuluyor."
G0306,Türk basketbol milli takımı Avrupa şampiyonasında mücadele etti.
G0307,Türkiye NATO zirvesine aktif olarak katıldı.
G0308,Türk üniversitesi yeni doktora programı açtı.
G0309,Türkiye-Portekiz kültür anlaşması imzalandı.
G0310,Vakıflar Genel Müdürlüğü tarihi eserlerin restorasyon raporunu açıkladı.
G0311,"Türk bilim insanı kanser aşısı geliştirdi, dünya şoke!"
G0312,"5G baz istasyonları kuş ölümlerine yol açıyor, araştırma sonuçlandı."
G0313,Hükümet kendi aleyhine çıkan tüm haberleri sansürlüyor.
G0314,"Bu anket verileri sahte, gerçek sonuç CHP'nin farkla önde."
G0315,Yeni sistem: Devlet okullarında maaş ödenmeyecek.
G0316,"Bu bölgede radyasyon seviyesi ölümcül, devlet gizliyor."
G0317,"Köpek beslemek artık yasak, para cezası geliyor."
G0318,"Bu haber uydurma, gerçekte böyle bir olay yaşanmadı."
G0319,Marmara Denizi'nde müsilaj temizleme çalışmaları sürdü.
G0320,Emniyet sınır kontrol sistemini dijital platforma taşıdı.
G0321,Sağlık Bakanlığı yeni hastane kurulum protokolünü yayımladı.
G0322,Özel okul öğrencilerine devlet okulu diploması verilecek.
G0323,Boğaziçi Üniversitesi uluslararası kongre düzenledi.
G0324,Türkiye sürdürülebilir kalkınma amaçlarına yönelik rapor yayımladı.
G0325,Türkiye tüm NATO askeri operasyonlarından çekiliyor.
G0326,Yeni yasa ile evli çiftler çocuk sahibi olmak zorunda.
G0327,"Bu fotoğraf dünkü depremde değil, 2003 yılında çekildi."
G0328,Türkiye düz dünya teorisini bilimsel olarak kanıtladı.
G0329,"Bu tarihte borsada büyük çöküş yaşanacak, fırsatçılar hazırlanıyor."
G0330,Türkiye'de geçen yıl 1.5 milyon turist ağırlandı.
G0331,Türkiye'de yeni çeşit uyuşturucu ekmeklere karıştırılıyor.
G0332,Cumhurbaşkanı tarım sektörü temsilcileriyle bir araya geldi.
G0333,Türkiye yeni sanayi bölgelerinin kurulumunu onayladı.
G0334,Yeni nesil ilaç kan şekerini sadece 1 saatte normalleştiriyor.
G0335,Türkiye orman varlığını korumaya devam ediyor.
G0336,Yeni yasa ile kiracıların tüm hakları sıfırlandı.
G0337,Çin Türkiye'ye ekonomik ambargo uyguluyor.
G0338,"Bu fotoğraf Türkiye'den değil, 1999 İtalya seli görüntüsü."
G0339,Türkiye yüksek hızlı internet altyapısı yatırımlarını sürdürüyor.
G0340,Cumhurbaşkanı yeni kabine üyelerini atadı.
G0341,Doktorlar açıkladı: Soğan yemek kanseri kesin olarak önlüyor.
G0342,Bu sezon Türkiye'de domuz gribi salgını başladı.
G0343,Çevre Bakanlığı çevre cezası gelirlerini açıkladı.
G0344,Sel felaketinin gerçek nedeni barajların kasıtlı açılması.
G0345,"Türkiye Suriye ile savaşa giriyor, gizli karar alındı."
G0346,"Süt içmek kemikleri güçlendirmiyor, bilim insanları yanıltıyordu."
G0347,"Bu iddia tamamen yanlış, bağımsız kuruluşlar reddetti."
G0348,Türkiye yazılım geliştirme sektöründe büyüyor.
G0349,Türkiye insansız hava araçları teknolojisinde öne çıkıyor.
G0350,"Türkiye AB üyeliği müzakereleri yeniden başladı, tarih belli."
G0351,Cumhurbaşkanlığı Sarayı 10 milyar dolara satışa çıkarıldı.
G0352,"Tüm hastaneler özelleştiriliyor, devlet hastanesi kalmıyor."
G0353,Çevre Bakanlığı atık yönetimi planını güncelledi.
G0354,Tayland'da 50 cm boyutunda sivrisinek türü keşfedildi.
G0355,KOSGEB KOBİ desteklerini artırdı.
G0356,Çin Türkiye'ye 50 milyar dolarlık borç takip başlattı.
G0357,AKP hükümeti tüm sosyal medyayı tamamen kapatıyor!
G0358,Türkiye Avrupa'nın en büyük çevre kirliliği kaynağı oldu.
G0359,Türkiye çevre standartlarını AB normlarına yaklaştırdı.
G0360,İstanbul Büyükşehir Belediyesi su zamı yaptı.
G0361,"Türkiye IMF'ye 200 milyar borç ödeyemedi, iflas yakın."
G0362,Sağlık Bakanlığı grip salgınına karşı aşı kampanyası başlattı.
G0363,Türkiye büyükelçilik ağını genişletiyor.
G0364,Türk girişimciler Silicon Valley'de şirket kurdu.
G0365,İstanbul Boğazı'nda geçiş trafiği verileri açıklandı.
G0366,"Bu fotoğraf İstanbul depremi değil, Marakeş görüntüsü."
G0367,Sağlık Bakanlığı yeni antikoagülan ilaç onayladı.
G0368,"Beşiktaş yeni teknik direktörü Mourinho oldu, sözleşme imzalandı."
G0369,Türk müzesinde yeni tarihi eser sergileniyor.
G0370,Türkiye'de yeni bir üniversite kuruldu.
G0371,"TürkSat uydusu yerinden oynatıldı, internet çalışmıyor."
G0372,Karadeniz'de yeni bir çekim gücü anomalisi tespit edildi.
G0373,Türkiye 20 milyar dolarlık ABD silahını iade etti.
G0374,"Fenerbahçe bu sezon şampiyonluğu bilerek bıraktı, belge sızdı."
G0375,"Atatürk Havalimanı gece yarısı kapatıldı, uçuşlar iptal."
G0376,Ankara'da metro hattı genişleme çalışmaları başladı.
G0377,İspanya ile yeni eğitim iş birliği protokolü imzalandı.
G0378,"İstanbul'da 6 milyon kişilik veri sızdırıldı, bankalar risk altında."
G0379,Türkiye enerji ithalatını çeşitlendiriyor.
G0380,Sağlık Bakanlığı pandemi hazırlık planını güncelledi.
G0381,CHP seçimi kazanırsa Türkiye AB üyesi olacak.
G0382,Kültür Bakanlığı yeni arkeolojik buluntular açıkladı.
G0383,"Türkiye-ABD ticaret anlaşması feshedildi, sonuçlar felaket olacak."
G0384,Sosyal medya yorumcuları artık lisans almak zorunda.
G0385,"Doğal gaz rezervi bitti, yakında sokaklar karanlık kalacak."
G0386,Yeni yasal düzenlemeyle belediyeler Ankara'ya bağlanıyor.
G0387,Bakanlık Kadına Yönelik Şiddetle Mücadele Planı'nı güncelledi.
G0388,İstanbul boğazı yarın gece trafiğe tamamen kapatılıyor.
G0389,İstanbul'da artık oy kullanmak için ekstra sınav şartı aranıyor.
G0390,Türk-Fransız ticaret ilişkileri güçleniyor.
G0391,Turkiye tarim ihracatinda yeni pazar buldu.
G0392,Bu insaat projesi yasadisi yollarla onaylandi.
G0393,"Bu fotograf sahte, asil gercek tamamen farkli."
