claim_id,category,claim,gold_verdict,final_verdict,raw_status,max_rerank_score,nli_probs,retrieved_source_snippet,source_id,source_channel,classification_reason
FACTURK-0360,K,Uzay ajanslarının bütçelerine yönelik iddialar,DOĞRU,YALAN,RED,0.91007,"[0.0022, 0.0051, 0.9927]",Türkiye Uzay Ajansı: 'Milli Uzay Programı için dev bütçe: 20 bin lira' iddiaları gerçeği yansıtmıyor,29091,MIDE22 Research Dataset,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0374,V,Kinder ürünlerinde salmonella analizinin sıklaştırıldığını gösterdiği iddia edilen belge,DOĞRU,YALAN,UYARI,0.01369,"[0.0003, 0.9993, 0.0005]",ABD Hastalık Kontrol ve Korunma Merkezi’nin (CDC) virüsün yayılımıyla ilgili yeni bir belge yayınladığı iddia edildi. İddia doğru değil.,11788,Teyit / Dogruluk Payi Arşivi,K-6 yardımcı sınıflandırıcısının şüpheli metin yapısı uyarısı veya sembolik veto katmanı (K-5) DOĞRU iddiayı YALAN'a çevirdi.
FACTURK-0381,K,5 milyon TL’ye özelleştirilen Giresun SEKA’nın 68 milyona geri alındığı,DOĞRU,YALAN,RED,0.00121,"[0.8768, 0.0501, 0.0731]",ING Bank takipteki 533 milyon lira alacağını 10 milyon liraya sattı …,2892,Diken,Korpusta bu iddiayı doğrudan teyit edecek veya çürütecek haber metni mevcut değil (korpus boşluğu). Getirilen aday zayıf/alakasız.
FACTURK-0384,K,Bakan Pakdemirli'nin patates firmasında danışmanlık yaptığı,DOĞRU,YALAN,RED,0.99474,"[0.0091, 0.0235, 0.9674]",Sosyal medyada dondurulmuş patates firması McCain'in Ortadoğu danışmanının Tarım ve Orman Bakanı Bekir Pakdemirli olduğu iddia edildi.,9023,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0385,K,İngiltere'de kartpostal 121 yıl sonra mı teslim edildi,DOĞRU,YALAN,RED,0.00043,"[0.9916, 0.0049, 0.0035]",Tunca Öğreten’e bir yıl sonra özgürlük! …,26848,Diken,Korpusta bu iddiayı doğrudan teyit edecek veya çürütecek haber metni mevcut değil (korpus boşluğu). Getirilen aday zayıf/alakasız.
FACTURK-0392,N,Bir Facebook sayfası tarafından 19 Aralık 2023 tarihinde yapılan paylaşımda yer alan videonun Dr. Mehmet Öz’ün hipertansiyon hakkında yaptığı açıklamaları gösterdiği,YALAN,DOĞRU,ONAY,0.02174,"[0.947, 0.0511, 0.0018]","Sosyal medyada ve WhatsApp’ta yayılan bir metinde yer alan yeni koronavirüs (Covid-19) tespit ve tavsiyelerinin, Dr. Mehmet Öz’e ait olduğu iddia edil...",5344,Teyit / Dogruluk Payi Arşivi,Getirilen belge iddia konusunu içeriyor ancak NLI modeli (XLM-R) yanlış şekilde Entailment çıkarımı yaptı.
FACTURK-0406,V,"Hamas - İsrail Savaşı’nın başladığı 7 Ekim’den bu yana Türkiye’nin İsrail’e ihracatının üç ayda 1 milyar doları aştığı iddia edildi . İddiada ayrıca 2023 yılının İsrail ihracat verilerinde 883 milyon dolarla çelik ithalatının ilk sırada, 593,8 milyon dolarlık ihracatla ikinci sırada kimyevi maddelerin yer aldığı da belirtilmiş. İddiada ihracat ile ilgili veriler açıklanırken muhtemelen yanlışlıkla ithalat kelimesinin kullanıldığını da belirtmek gerek",DOĞRU,YALAN,UYARI,0.23161,"[0.0004, 0.9991, 0.0006]",Sosyal medyada paylaşılan bir iddiada barkod numarası 869 ile başlayan ürünlerin Türk malı olduğu belirtiliyor.,635,Teyit / Dogruluk Payi Arşivi,K-6 yardımcı sınıflandırıcısının şüpheli metin yapısı uyarısı veya sembolik veto katmanı (K-5) DOĞRU iddiayı YALAN'a çevirdi.
FACTURK-0412,K,Mona Sahlin ve Toblerone yolsuzluk davası,DOĞRU,YALAN,RED,0.60854,"[0.1628, 0.7753, 0.0619]","İsveç Sosyal Demokrat Partisi’nden Mona Sahlin’e, devletin tahsis ettiği kredi kartıyla kendisine çikolata aldığı gerekçesiyle soruşturma açıldı.",25558,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0416,K,Stanley Kubrick'in Ay'a İniş Görüntülerini Çektiği ve Ay'a İnilmediğini İtiraf Ettiği,YALAN,DOĞRU,ONAY,0.00551,"[0.463, 0.5329, 0.0041]",Sosyal medyada uzay istasyonunda çekim yaparken set arkasındaki görevliyi gösterdiği iddiasıyla bir video paylaşıldı.,9755,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0417,K,Covid-19 nedeniyle kapalı olan AVM’deki deri eşyaların küflendiği,DOĞRU,YALAN,RED,0.00165,"[0.0255, 0.968, 0.0065]","Karayolları Genel Müdürlüğü, Türkiye geneli yol ağında ana arterlerin hepsinin ulaşıma açıldığını, deprem nedeniyle trafiğe kapalı güzergah bulunmadığ...",25798,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayı doğrudan teyit edecek veya çürütecek haber metni mevcut değil (korpus boşluğu). Getirilen aday zayıf/alakasız.
FACTURK-0437,K,İspanya’nın Güney Kıbrıs’a savunma amaçlı savaş gemisi göndereceği,DOĞRU,YALAN,RED,0.00443,"[0.0057, 0.9915, 0.0028]","Milli Savunma Bakanı Akar, TSK komuta kademesi ile birlikte ""Dünyanın ilk SİHA gemisi"" ve Türkiye’nin en büyük savaş gemisi olma özelliğine sahip TCG ...",4021,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayı doğrudan teyit edecek veya çürütecek haber metni mevcut değil (korpus boşluğu). Getirilen aday zayıf/alakasız.
FACTURK-0449,R,Gigantopithecus'un yaşamış en büyük maymun ve vejetaryen olduğu,DOĞRU,YALAN,RED,0.02915,"[0.038, 0.4374, 0.5246]","Mavi balinalar, yeryüzünde yaşamış olduğu bilinen en büyük hayvan türüdür.,",137,,Belge iddiadaki bazı anahtar kelimeleri taşısa da iddianın doğruluk çekirdeğini taşımıyor (yüzeysel retrieval eşleşmesi).
FACTURK-0455,V,Bir Instagram hesabı tarafından 10 Aralık 2025 tarihinde paylaşılan gönderide dünyada en zengin 60 bin kişinin en yoksul 4 milyar kişiden 3 kat daha zengin olduğu iddia edildi,DOĞRU,YALAN,UYARI,0.11221,"[0.0017, 0.9973, 0.001]",Sosyal medyada paylaşılan bir gönderide Japonya’da gelişimini tamamlamamış olduğu için lise mezunu olmayanların oy kullanamadığı iddia edildi.,3532,Teyit / Dogruluk Payi Arşivi,K-6 yardımcı sınıflandırıcısının şüpheli metin yapısı uyarısı veya sembolik veto katmanı (K-5) DOĞRU iddiayı YALAN'a çevirdi.
FACTURK-0457,R,Borsa İstanbul'un Hızlı Karar Alma Süreci etkinliğine Metin Doğan'ın katılacağı,DOĞRU,YALAN,RED,0.98871,"[0.0042, 0.0049, 0.9909]","Sosyal medyada yayılan bir afişle Borsa İstanbul'un düzenlediği ""Hızlı Karar Alma Süreci"" etkinliğine tankın önüne yatan Doğan'ın katılacağı iddia edi...",3638,Teyit / Dogruluk Payi Arşivi,Belge iddiadaki bazı anahtar kelimeleri taşısa da iddianın doğruluk çekirdeğini taşımıyor (yüzeysel retrieval eşleşmesi).
FACTURK-0463,V,Bir Instagram hesabı tarafından 24 Aralık 2022 tarihinde paylaşılan fotoğrafta Almanya'da evsizlerin barınması için uyku kapsülleri kurulduğu,DOĞRU,YALAN,UYARI,0.15675,"[0.0003, 0.9992, 0.0005]",Görsel 2022 Dünya Kupası başlamadan aylar önce paylaşılmış.,8792,Teyit / Dogruluk Payi Arşivi,K-6 yardımcı sınıflandırıcısının şüpheli metin yapısı uyarısı veya sembolik veto katmanı (K-5) DOĞRU iddiayı YALAN'a çevirdi.
FACTURK-0470,K,"Tarım ve Orman Bakanlığı, yaban keçisi ve hatalı boynuz selek yaban keçisi olmak üzere toplam 45 adet keçinin 13 parti halinde avlattırılması için ihale duyurusunda bulunmuştur",DOĞRU,YALAN,RED,0.01855,"[0.0072, 0.9728, 0.0201]","Tarım ve Orman Bakanlığı, sahipli hayvanların dijital kimliklendirilmesine yönelik merak edilen konulara açıklık getirdi.",16987,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0488,K,Dünya Sağlık Örgütü (WHO) Genel Direktörü Tedros Adhanom’un Covid-19 aşısı olmadığı iddia edildi,YALAN,DOĞRU,ONAY,0.55052,"[0.6378, 0.3552, 0.007]",Teyit'e ihbar olarak gönderilen iddiaya göre Dünya Sağlık Örgütü'nün rakının Covid-19'a iyi geldiği yönünde açıklama yaptığı iddia edildi.,10907,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0497,K,sığınmacıların Avrupa’daki bir Gucci mağazasını soyduğu iddia edildi,YALAN,DOĞRU,ONAY,0.75455,"[0.9879, 0.0117, 0.0005]",Sosyal medyada paylaşılan bir fotoğrafla Hatay’da yaşayan Suriyeli sığınmacıların Türkiye’ye gelen Afganları protesto ettiği iddia edildi.,26820,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
