claim_id,claim,organisation,year,corpus_evidence_exists,diagnostic_finding
FACTURK-0156,"Rusya Savunma Bakanı Sergey Şoygu’nun “Sovyetler Birliği Geri Dönecek, hepimiz barış içinde yaşayacağız” dediği iddia edildi",Doğruluk Payı,2022,False,İddia 2022 yılına ait güncel bir olaydır; korpus zaman aralığının dışındadır.
FACTURK-0171,Nikola Tesla 1926 yılında akıllı telefonları tahmin etti,Teyit,2024,False,İddia 2024 yılına ait güncel bir olaydır; korpus zaman aralığının dışındadır.
FACTURK-0182,İtalya’da koronavirüse karşı Kuran okunduğu,Teyit,2020,False,İddia özelinde teyit edici haber metni korpus dökümünde yer almamaktadır.
FACTURK-0187,Dünyanın en büyük yangın uçağı kar getirmediği için piyasadan çekildi,Doğruluk Payı,2021,False,İddia özelinde teyit edici haber metni korpus dökümünde yer almamaktadır.
FACTURK-0223,Portekiz’de koronavirüsü etkisiz hale getiren maske geliştirildiği,Teyit,2020,False,İddia özelinde teyit edici haber metni korpus dökümünde yer almamaktadır.
FACTURK-0253,Xsentius Adlı Türk Filozof Tarafından Yazılan Eski Bir Tapınak Yazıtı Olduğu İddia Edilen Metin,Malumatfuruş,2020,False,Yayıncı (Malumatfuruş) korpusta hiç yer almamaktadır; iddia sıfırıncı gün konusudur.
FACTURK-0254,Che 1967 yılında Bolivyada yakalanıp öldürüldüğünde çantasından Nutuk çıktığı,Malumatfuruş,2018,False,Yayıncı (Malumatfuruş) korpusta hiç yer almamaktadır; iddia sıfırıncı gün konusudur.
FACTURK-0257,"Türkiye Uzay Ajansı, 2 buçuk yıllığına 1 Milyon 62 bin 919 TL'ye 5 minibüs ve 2 şoför hizmetini kiralamıştır",Doğruluk Payı,2021,False,İddia özelinde teyit edici haber metni korpus dökümünde yer almamaktadır.
FACTURK-0266,"Bir penguenin kendisini 2011 yılında açlıktan ölmek üzereyken kurtaran ve besleyip iyileştiren Brezilyalı Joao Pereira de Souza'yı, denize açıldıktan sonra her yıl ziyaret ettiği",Malumatfuruş,2023,False,Yayıncı (Malumatfuruş) korpusta hiç yer almamaktadır; iddia sıfırıncı gün konusudur.
FACTURK-0306,kekik çayının mide yanmasını beş dakikada durdurduğu iddia edildi,Doğruluk Payı,2025,False,İddia özelinde teyit edici haber metni korpus dökümünde yer almamaktadır.
FACTURK-0319,"Zürefanın düşkünü, beyaz giyer kış günü atasözündeki zürefa sözcüğünün aslında lezbiyen anlamında kullanıldığı",Malumatfuruş,2023,False,Yayıncı (Malumatfuruş) korpusta hiç yer almamaktadır; iddia sıfırıncı gün konusudur.
FACTURK-0324,bir Azerbaycan vatandaşının Türkiye’de meydana gelen depremler nedeniyle arabasıyla yardım taşıdığı iddia edildi,Doğruluk Payı,2023,False,İddia 2023 yılına ait güncel bir olaydır; korpus zaman aralığının dışındadır.
FACTURK-0356,ki görselin tomografi sırasında panik atak geçiren bir hastaya ait olduğu iddia edildi,Doğruluk Payı,2022,False,İddia 2022 yılına ait güncel bir olaydır; korpus zaman aralığının dışındadır.
FACTURK-0378,Fransa'da 1956'ya kadar çocukların okulda şarap içtiği doğru,Teyit,2024,False,İddia 2024 yılına ait güncel bir olaydır; korpus zaman aralığının dışındadır.
FACTURK-0425,Halk TV İnternet Sitesinde TSK'nın Operasyonunun Genelkurmay'dan PKK'ya Hain Operasyon Başlığıyla Yayımlandığı,Malumatfuruş,2024,False,Yayıncı (Malumatfuruş) korpusta hiç yer almamaktadır; iddia sıfırıncı gün konusudur.
FACTURK-0471,"TFF’nin Pendikspor ile Fenerbahçe arasında oynanacak olan maçın Pendik Stadyumu’nda oynanacağını açıklamasının ardından Pendikspor’un “Pendik Stadyumu, tarihinin ilk gece maçına hazır!” paylaşımı yaptığı",Doğruluk Payı,2024,False,İddia 2024 yılına ait güncel bir olaydır; korpus zaman aralığının dışındadır.
FACTURK-0479,Osmanlı Hanedanı hakkındaki bilgilerin Prof. Dr. Halil İnancık tarafından söylendi,Doğruluk Payı,2021,False,İddia özelinde teyit edici haber metni korpus dökümünde yer almamaktadır.
FACTURK-0491,yeni bir araştırmanın tuvalette akıllı telefon kullanan kişilerde hemoroid oluşumu %46 oranında arttığını kanıtladığı iddia edildi,Doğruluk Payı,2025,False,İddia özelinde teyit edici haber metni korpus dökümünde yer almamaktadır.
FACTURK-0500,Fotoğrafın Pakistan’da “poşetlerle” taşınan doğalgazı gösterdiği,Teyit,2023,False,İddia 2023 yılına ait güncel bir olaydır; korpus zaman aralığının dışındadır.
