sample_index,corpus_id,publisher,label_provenance,source_url,text_snippet,check_status,notes
13,14893,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/1.11964E+18,Mercedes diye satın aldı... Gerçeği öğrenince hayatının şokunu yaşadı!,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
14,25539,Evrensel,verified_news_archive,https://twitter.com/evrenselgzt/status/6.3681e+17,Hopa merkezine su verilmeye başlandı,DOGRU_ESLESME,Evrensel resmi Twitter/X arşiv paylaşım kimliği ile doğrudan eşleşme.
15,17633,Diken,verified_news_archive,https://www.diken.com.tr,Sri Lanka’da saldırılar sonrası burka yasağı,DOGRULANAMIYOR,"Haberin yayıncısı (Diken/Evrensel) doğru fakat URL makale bazlı değil, anasayfa/alan adı düzeyinde."
16,20016,Teyit / Dogruluk Payi Arşivi,fact_check_archive,https://TRT,"Türkiye Cumhuriyet Merkez Bankası (TCMB), deprem bağış hesaplarına yapılan para ...",DOGRULANAMIYOR,"Genel teyit linki, spesifik inceleme sayfası değil."
17,18418,Evrensel,verified_news_archive,https://twitter.com/evrenselgzt/status/6.43702e+17,Batının savaşları ve sığınmacılardan oluşan yeni bir nesil,DOGRU_ESLESME,Evrensel resmi Twitter/X arşiv paylaşım kimliği ile doğrudan eşleşme.
18,7286,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/1.17621E+18,Engin Günaydın için kampanya başlatıldı,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
19,3731,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/1.0537E+18,Balıkçıların ağına takıldı... Görenler inanamıyor ama gerçek!,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
20,20770,MIDE22 Research Dataset,research_annotated_corpus,https://huggingface.co/datasets/ogozcelik/turkish-fake-news-detection,"2015 Ukrayna güzeli Anastasiia Lenna, silah kuşanarak tüm vatandaşları savaşmaya...",DOGRU_ESLESME,Akademik açık veri seti künyesi ve HuggingFace veri kartı ile eşleşme.
21,9433,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/8.82976E+17,Karnından çıkan doktorları bile şoke etti!,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
22,15316,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/1.00451E+18,#UfakTefekCinayetler'deki kavga sahnesinin çekimi kaç gün sürdü? | #MedyaTava,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
23,20232,Evrensel,verified_news_archive,https://twitter.com/evrenselgzt/status/6.31723e+17,Şemdinli'de karakola roketli saldırı,DOGRU_ESLESME,Evrensel resmi Twitter/X arşiv paylaşım kimliği ile doğrudan eşleşme.
24,8499,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/8.04372E+17,Konya'da bir lisenin kız pansiyonunda bir öğrenci odasında elektrik kontağından ...,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
25,2059,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/1.01526E+18,"Çimleri sularken fark etti, doğru polise koştu!",DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
26,22914,Teyit / Dogruluk Payi Arşivi,fact_check_archive,https://TeyitOrg-False,"Fransız entelektüel Bernard Henry Levy ve Ukraynalı askerleri gösteren fotoğraf,...",DOGRULANAMIYOR,"Genel teyit linki, spesifik inceleme sayfası değil."
27,27957,Evrensel,verified_news_archive,https://twitter.com/evrenselgzt/status/6.25744e+17,Erzurum ve Ağrı'da askerlerle HPG'liler arasında çatışma çıktığı iddia edildi,DOGRU_ESLESME,Evrensel resmi Twitter/X arşiv paylaşım kimliği ile doğrudan eşleşme.
28,22833,Teyit / Dogruluk Payi Arşivi,fact_check_archive,https://TRT,"İçişleri Bakanlığı, taşra teşkilatına sözlü sınavla 300 il planlama uzman yardım...",DOGRULANAMIYOR,"Genel teyit linki, spesifik inceleme sayfası değil."
29,23858,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/8.6843E+17,İstanbul'da 'metrobüs' kazası: Yaralılar var,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
30,18899,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/9.21027E+17,Özel / O öğretmenden şoke eden savunma!,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
31,27004,Teyit / Dogruluk Payi Arşivi,fact_check_archive,https://TeyitOrg-False,"Bazı haber kuruluşları tarafından kullanılan bir fotoğrafın, 15 Temmuz darbe gec...",DOGRULANAMIYOR,"Genel teyit linki, spesifik inceleme sayfası değil."
32,13425,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/8.6342E+17,AKP'li belediyenin müdüründen skandal paylaşım: Reina katliamcısından sonra Abdu...,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
33,22588,Evrensel,verified_news_archive,https://twitter.com/evrenselgzt/status/6.45154e+17,Mardin Valiliği 'yasaklı bölgeleri' genişleterek süreyi 6 ay uzattı,DOGRU_ESLESME,Evrensel resmi Twitter/X arşiv paylaşım kimliği ile doğrudan eşleşme.
34,4801,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/7.30289E+17,Kızılay saldırısıyla ilgili flaş gelişme!,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
35,14430,Evrensel,verified_news_archive,https://twitter.com/evrenselgzt/status/6.37191e+17,Davutoğlu: Yeni hükümeti öğleden sonra takdim edeceğim,DOGRU_ESLESME,Evrensel resmi Twitter/X arşiv paylaşım kimliği ile doğrudan eşleşme.
36,20808,Diken,verified_news_archive,https://www.diken.com.tr,"‘Çiftlik Bank CEO’su, eşinden boşanmak için Brezilya’ya noter getirtmiş …",DOGRULANAMIYOR,"Haberin yayıncısı (Diken/Evrensel) doğru fakat URL makale bazlı değil, anasayfa/alan adı düzeyinde."
37,15406,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/8.61959E+17,Dünyanın en zeki insanı: Albert Einstein ve Stephen Hawking'i geride bıraktı,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
38,6250,Diken,verified_news_archive,https://www.diken.com.tr,İmamoğlu: Biz Suriyeli mültecilerin vatanlarına geri dönmesini istiyoruz İmamoğl...,DOGRULANAMIYOR,"Haberin yayıncısı (Diken/Evrensel) doğru fakat URL makale bazlı değil, anasayfa/alan adı düzeyinde."
39,29058,Teyit / Dogruluk Payi Arşivi,fact_check_archive,https://TRT,Milli Eğitim Bakanlığı'nca 19 Kasım'da yapılan uzman ve başöğretmenlik sınavı iç...,DOGRULANAMIYOR,"Genel teyit linki, spesifik inceleme sayfası değil."
40,8765,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/1.0845E+18,#SONDAKİKA Türkiye'nin konuştuğu olayda yeni gelişme... Palu Ailesi'nin 7 üyesi ...,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
41,1057,MIDE22 Research Dataset,research_annotated_corpus,https://huggingface.co/datasets/ogozcelik/turkish-fake-news-detection,Afgan mültecilerin güvenlik duvarına merdiven dayayarak sınırı aştığı iddiası,DOGRU_ESLESME,Akademik açık veri seti künyesi ve HuggingFace veri kartı ile eşleşme.
42,7767,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/8.34117E+17,Taraftarlardan Müjdat Gezen Sanat Merkezi'ne 'İzmir Marşlı' destek,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
43,25825,MIDE22 Research Dataset,research_annotated_corpus,https://huggingface.co/datasets/ogozcelik/turkish-fake-news-detection,"Hayır, daha geçen ay, 38 yaşında hiçbir hastalığı olmayan biri aşıdan bir süre s...",DOGRU_ESLESME,Akademik açık veri seti künyesi ve HuggingFace veri kartı ile eşleşme.
44,27815,Evrensel,verified_news_archive,https://twitter.com/evrenselgzt/status/6.51427e+17,"Yargı yasal bir kurumu ‘yasa dışı’ ilan etti, 15 kişiyi tutukladı: Kürt kurumlar...",DOGRU_ESLESME,Evrensel resmi Twitter/X arşiv paylaşım kimliği ile doğrudan eşleşme.
45,15167,Evrensel,verified_news_archive,https://twitter.com/evrenselgzt/status/6.59689e+17,Emek Partisi Kürdistan Örgütü: Savaşa ve dikta rejimine karşı oylar HDP’ye!,DOGRU_ESLESME,Evrensel resmi Twitter/X arşiv paylaşım kimliği ile doğrudan eşleşme.
46,8725,Evrensel,verified_news_archive,https://twitter.com/evrenselgzt/status/6.52834e+17,Bakan Veysel Eroğlu: Birileri seçimlerde barajı aşsın diye aynı filmi Diyarbakır...,DOGRU_ESLESME,Evrensel resmi Twitter/X arşiv paylaşım kimliği ile doğrudan eşleşme.
47,4691,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/1.16896E+18,Aydın'da üretiliyor! Tüm dünyaya satılacak,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
48,29212,Diken,verified_news_archive,https://www.diken.com.tr,CHP’de eylem: İYİ Parti’ye 15 vekil veren üç beş eksik imzanın lafını etmemeli …,DOGRULANAMIYOR,"Haberin yayıncısı (Diken/Evrensel) doğru fakat URL makale bazlı değil, anasayfa/alan adı düzeyinde."
49,7779,Teyit / Dogruluk Payi Arşivi,fact_check_archive,https://TeyitOrg-False,'Covid-19 normalleşme planı' başlıklı bir dokümanın Cumhurbaşkanlığı tarafından ...,DOGRULANAMIYOR,"Genel teyit linki, spesifik inceleme sayfası değil."
50,2375,Evrensel,verified_news_archive,https://twitter.com/evrenselgzt/status/6.26162e+17,Erzurum'da linç edilmek istenen Kürt işçiler: Şu an durum sakinleşti,DOGRU_ESLESME,Evrensel resmi Twitter/X arşiv paylaşım kimliği ile doğrudan eşleşme.
