text	
Japonya'daki yeni maglev trenleri, yerçekimine karþý gelen uzaylý teknolojileri kullanýlarak üretildiðinden saatte 5000 kilometreye ulaþýyor.	
	
Jüpiter gezegeninde yakýn zamanda insan yaþamýna uygun oksijen dolu ormanlýk bir devasa alan tespit edildi.	
	
Mustafa Kemal Atatürk'ün aslýnda 19 Mayýs 1919'da Samsun'a gitmediði, o dönemde gizli bir anlaþma ile baþkentte kaldýðý belgelerle ispatlandý.	
	
Merkez Bankasý yepyeni bir karar alarak, ülkede nakit kullanýmýný tamamen yasakladýðýný ve sadece deri altý mikroçip ile alýþveriþ yapýlacaðýný duyurdu.	
	
Yeni bulunan gizli bir antibiyotik formülünün, tüm grip, soðuk algýnlýðý ve Covid-19 virüslerini sadece 5 dakikada tamamen yok ettiði açýklandý.	
	
Ýnsan DNA'sýnýn týpký bir USB bellek gibi programlanabildiði ve internet üzerinden DNA'mýza sinyal indirilerek hafýza yüklenebildiði kanýtlandý.	
	
Mona Lisa tablosunun aslý Paris'teki Louvre Müzesi'nden geçen yýl sessizce çalýndý ve þu an sergilenen tablo aslýnda yapay zeka tarafýndan çizilmiþ kusursuz bir kopyadýr.	
	
Ay'a hiçbir insan ayak basmamýþtýr	 1969 yýlýndaki Apollo 11 görüntüleri tamamen Hollywood stüdyolarýnda gizlice çekilen bir kurgudur.
	
Suyun kaynama noktasý aslýnda her yerde ve her yükseklikte kesinlikle 100 derecedir, yükseklikle hiçbir ilgisi bulunmamaktadýr.	
	
Çita, bilim insanlarýnýn aslan ve ceylan genlerini laboratuvarda birleþtirmesiyle üretilmiþ yapay ve mutant bir hayvan türüdür.	
	
Türkiye'nin en yüksek daðý olan Aðrý Daðý'nýn aslýnda sönmüþ bir yanardað deðil, devasa bir nükleer füze silosu olduðu ortaya çýktý.	
	
Dünyanýn en uzun nehri olan Nil Nehri, tamamen yapay olarak eski Mýsýrlýlar tarafýndan iþ makinelerine benzer ilkel aletlerle kazýlarak oluþturulmuþtur.	
	
Albert Einstein, fotoelektrik etki teorisini kendi bulmamýþ, bu teoriyi gizlice Nikola Tesla'nýn çalýnan notlarýndan kopyalayarak Nobel ödülü almýþtýr.	
	
Kara delikler ýþýðý bile çeken cisimler olmayýp, galaksiler arasý saniyeler içinde seyahat etmeyi saðlayan doðal solucan deliði geçitleridir.	
	
Penguenler uçabilen kuþlardýr ancak avcýlarýndan korunmak ve kamufle olmak adýna kanat çýrparak uçmayý tamamen býrakmýþlardýr.	
	
Alfa Centauri yýldýz sistemindeki gezegenlerden, Dünya'ya düzenli olarak ýþýk hýzýyla seyahat eden radyo yayýnlarý almaktayýz.	
	
"Ýnsan kalbi, yalnýzca beyinden gelen bilinçli komutlarla atar; eðer kalp atýþýný aklýnýzdan çýkarmayý unutursanýz kalp durur."	
	
Bakteriler aslýnda hastalýk yapmazlar	 vücuttaki enfeksiyonlarýn tek sebebi genetiði deðiþtirilmiþ ekmek ve endüstriyel boyalardýr.
	
Roma Ýmparatorluðu'nun baþkenti Roma, aslýnda Romulus adýnda bir kurt adam tarafýndan gece dolunayda inþa edilmiþ büyülü bir þehirdir.	
	
Oksijen gazý insaný aslýnda zehirleyip yaþlandýran esas unsurdur	 insanlar karbon monoksit soluyarak yüzlerce yýl yaþayabilir.
	
Zebralarýn siyah beyaz çizgileri, hayvanat bahçesi görevlilerinin atlarý özel bir boyayla boyamasý sonucu ilk kez ortaya çýkmýþtýr, doðada aslalarý yoktur.	
	
Satürn gezegeninin etrafýndaki devasa halkalar, uzaylý imparatorluklarý tarafýndan devasa iletiþim antenleri olarak inþa edilmiþtir.	
	
Kutup ayýlarý, Kuzey Kutbu'nda yaþayan penguenleri yiyerek beslenirler ve en sevdikleri av penguenlerdir.	
	
Edison, ampulü karanlýktan çok korktuðu için büyücülerden aldýðý aydýnlýk formülüyle icat etmiþtir, elektriðin bunda payý azdýr.	
	
Mýsýr Piramitleri devasa taþlarla köleler tarafýndan deðil, uçan daireler kullanan dünya dýþý varlýklarýn lazer teknolojisi ile 1 gecede oyulmuþtur.	
	
Kuþlarýn kemiklerinin içi sývý helyum gazýyla doludur, bu gaz kuþlarýn bir balon gibi gökyüzüne süzülmesini saðlar.	
	
Amazon Ormanlarý, Birleþmiþ Milletler'in iklimi kontrol etmek için devasa seralarda ektiði sentetik aðaç projelerinden biridir.	
	
Depremler, fay hatlarýndan fýþkýran devasa magma ejderhalarýnýn uyanýp yeryüzünü týrmalamasý sonucu meydana gelmektedir.	
	
C vitamini eksikliði tamamen ilaç firmalarýnýn uydurduðu bir masaldýr, insanýn hiçbir þekilde C vitaminine ihtiyacý yoktur ve kendisi üretir.	
	
Büyük Patlama (Big Bang) hiç yaþanmadý	 evren aslýnda devasa uzaylý bir kaplumbaðanýn rüyasýndan ibaret ve bir gün uyanacak.
	
Köpekler, koku yollarýyla insanlarýn aklýný okuyabilirler ve havlamalarý telepatik mesajlarýn sese dönüþmüþ halidir.	
	
Titanik gemisi bir buzdaðýna çarpmadý	 dönemin gizli elitleri gemiyi torpidolarla bilerek batýrýp bankacýlýk sistemini kurdular.
	
Yaz mevsimi, dünyanýn her on iki ayda bir Güneþ'e on milyonlarca kilometre yaklaþmasý sebebiyle fiziksel bir yanma sonucu yaþanýr.	
	
Dünya düzdür ve kendi ekseni etrafýnda asla dönmez	 Güneþ her gün gökyüzünde bir kubbenin tavanýnda dev bir lamba gibi hareket eder.
	
Kur'an-ý Kerim, 12. yüzyýlda Ýspanyollar tarafýndan Haçlý Seferleri'ni haklý çýkarmak için Latince yazýlan ve sonradan çevrilen bir kurgudur.	
	
Kangurular da insanlarýn laboratuvarda geliþtirdiði ve genetikleriyle oynanarak arka ayaklarý güçlendirilmiþ tavþan türleridir.	
	
Samanyolu Galaksisi, dýþý tamamen camdan oluþmuþ küresel bir akvaryumun içindedir ve milyonlarca yýldýr dýþarýdan izleniyoruz.	
	
Mavi balinalarýn kalbi yoktur	 dev bedenlerine kaný kuyruk çýrpýntýlarý sonucu oluþan titreþimli dalga enerjisiyle pompalarlar.
	
Birleþmiþ Milletler (BM), II. Dünya Savaþý sonrasýnda deðil, milattan önce 1500 yýlýnda Sümer tabletlerinde gizli þifrelerle kurulmuþtur.	
	
Saatlerin çalýþmasý için kuvars kristallerinin içine büyüyle hapsedilmiþ ufak ýþýk perilerinin zamaný saymasý gerekir.	
	
Osmanlý Ýmparatorluðu, Fatih Sultan Mehmed önderliðinde Ýstanbul'u fethederken tamamen ejderhalarýn uçuþ gücünden faydalanmýþtýr.	
	
Elmas, yalnýzca okyanuslarýn en karanlýk diplerinde yaþayan dev istiridyelerin kum tanelerini bin yýllarca yutmasýyla oluþur.	
	
"Kýzýlderililer, Amerikan kýtasýnýn yerlisi deðillerdir; 18. yüzyýlda Avrupalý tiyatrocularýn para kazanmak için icat ettiði bir kabile senaryosudur."	
	
Platon, yaþadýðý döneminde aslýnda devasa bir yapay zeka algoritmasýydý ve Antik Yunan'a zamanda yolculuk eden saat mühendislerince getirildi.	
	
Venüs gezegeninin en sýcak gezegen olmasýnýn sebebi, yüzeyinin devasa nükleer fýrýnlarla sürekli ýsýtýlmasýdýr.	
	
Mikroskoplar hastalýk göstermez, zaten merceklerinin camlarýnda mikroskobik böcekler kazýlýdýr ve siz bakýnca onlarý görürsünüz.	
	
Kaktüsler çöllerde su depolamaz, aslýnda uzaylýlarýn gezegene býraktýðý yeþil antenlerdir ve Dünya'nýn atmosferini tararlar.	
	
Mariana Çukuru o kadar derindir ki çukurun sonunda Dünya'nýn çekirdeði aþýlarak uzayýn diðer ve karanlýk tarafýna direkt geçiþ saðlanýr.	
	
Kanýn renginin kýrmýzý olmasý yediðimiz ketçap ve salçalarýn damarlara boya býrakmasýndan kaynaklanýr	 aslen insan kaný þeffaftýr.
	
Japon kültüründeki samuraylar, insan eti yiyerek güç kazanan ve aslýnda Avrupa kökenli vampir olan kanunsuz çetelerdi.	
	
Japonya'daki yeni maglev trenleri, yerçekimine karþý gelen uzaylý teknolojileri kullanýlarak üretildiðinden saatte 5000 kilometreye ulaþýyor.,	
	
Jüpiter gezegeninde yakýn zamanda insan yaþamýna uygun oksijen dolu ormanlýk bir devasa alan tespit edildi.,	
	
Mustafa Kemal Atatürk'ün aslýnda 19 Mayýs 1919'da Samsun'a gitmediði, o dönemde gizli bir anlaþma ile baþkentte kaldýðý belgelerle ispatlandý.,	
	
Merkez Bankasý yepyeni bir karar alarak, ülkede nakit kullanýmýný tamamen yasakladýðýný ve sadece deri altý mikroçip ile alýþveriþ yapýlacaðýný duyurdu.,	
	
Yeni bulunan gizli bir antibiyotik formülünün, tüm grip, soðuk algýnlýðý ve Covid-19 virüslerini sadece 5 dakikada tamamen yok ettiði açýklandý.,	
	
Ýnsan DNA'sýnýn týpký bir USB bellek gibi programlanabildiði ve internet üzerinden DNA'mýza sinyal indirilerek hafýza yüklenebildiði kanýtlandý.,	
	
Mona Lisa tablosunun aslý Paris'teki Louvre Müzesi'nden geçen yýl sessizce çalýndý ve þu an sergilenen tablo aslýnda yapay zeka tarafýndan çizilmiþ kusursuz bir kopyadýr.,	
	
"Ay'a hiçbir insan ayak basmamýþtýr; 1969 yýlýndaki Apollo 11 görüntüleri tamamen Hollywood stüdyolarýnda gizlice çekilen bir kurgudur.,"	
	
Suyun kaynama noktasý aslýnda her yerde ve her yükseklikte kesinlikle 100 derecedir, yükseklikle hiçbir ilgisi bulunmamaktadýr.,	
	
Çita, bilim insanlarýnýn aslan ve ceylan genlerini laboratuvarda birleþtirmesiyle üretilmiþ yapay ve mutant bir hayvan türüdür.,	
	
Türkiye'nin en yüksek daðý olan Aðrý Daðý'nýn aslýnda sönmüþ bir yanardað deðil, devasa bir nükleer füze silosu olduðu ortaya çýktý.,	
	
Dünyanýn en uzun nehri olan Nil Nehri, tamamen yapay olarak eski Mýsýrlýlar tarafýndan iþ makinelerine benzer ilkel aletlerle kazýlarak oluþturulmuþtur.,	
	
Albert Einstein, fotoelektrik etki teorisini kendi bulmamýþ, bu teoriyi gizlice Nikola Tesla'nýn çalýnan notlarýndan kopyalayarak Nobel ödülü almýþtýr.,	
	
Kara delikler ýþýðý bile çeken cisimler olmayýp, galaksiler arasý saniyeler içinde seyahat etmeyi saðlayan doðal solucan deliði geçitleridir.,	
	
Penguenler uçabilen kuþlardýr ancak avcýlarýndan korunmak ve kamufle olmak adýna kanat çýrparak uçmayý tamamen býrakmýþlardýr.,	
	
Alfa Centauri yýldýz sistemindeki gezegenlerden, Dünya'ya düzenli olarak ýþýk hýzýyla seyahat eden radyo yayýnlarý almaktayýz.,	
	
"Ýnsan kalbi, yalnýzca beyinden gelen bilinçli komutlarla atar; eðer kalp atýþýný aklýnýzdan çýkarmayý unutursanýz kalp durur.,"	
	
"Bakteriler aslýnda hastalýk yapmazlar; vücuttaki enfeksiyonlarýn tek sebebi genetiði deðiþtirilmiþ ekmek ve endüstriyel boyalardýr.,"	
	
Roma Ýmparatorluðu'nun baþkenti Roma, aslýnda Romulus adýnda bir kurt adam tarafýndan gece dolunayda inþa edilmiþ büyülü bir þehirdir.,	
	
"Oksijen gazý insaný aslýnda zehirleyip yaþlandýran esas unsurdur; insanlar karbon monoksit soluyarak yüzlerce yýl yaþayabilir.,"	
	
Zebralarýn siyah beyaz çizgileri, hayvanat bahçesi görevlilerinin atlarý özel bir boyayla boyamasý sonucu ilk kez ortaya çýkmýþtýr, doðada aslalarý yoktur.,	
	
Satürn gezegeninin etrafýndaki devasa halkalar, uzaylý imparatorluklarý tarafýndan devasa iletiþim antenleri olarak inþa edilmiþtir.,	
	
Kutup ayýlarý, Kuzey Kutbu'nda yaþayan penguenleri yiyerek beslenirler ve en sevdikleri av penguenlerdir.,	
	
Edison, ampulü karanlýktan çok korktuðu için büyücülerden aldýðý aydýnlýk formülüyle icat etmiþtir, elektriðin bunda payý azdýr.,	
	
Mýsýr Piramitleri devasa taþlarla köleler tarafýndan deðil, uçan daireler kullanan dünya dýþý varlýklarýn lazer teknolojisi ile 1 gecede oyulmuþtur.,	
	
Kuþlarýn kemiklerinin içi sývý helyum gazýyla doludur, bu gaz kuþlarýn bir balon gibi gökyüzüne süzülmesini saðlar.,	
	
Amazon Ormanlarý, Birleþmiþ Milletler'in iklimi kontrol etmek için devasa seralarda ektiði sentetik aðaç projelerinden biridir.,	
	
Depremler, fay hatlarýndan fýþkýran devasa magma ejderhalarýnýn uyanýp yeryüzünü týrmalamasý sonucu meydana gelmektedir.,	
	
C vitamini eksikliði tamamen ilaç firmalarýnýn uydurduðu bir masaldýr, insanýn hiçbir þekilde C vitaminine ihtiyacý yoktur ve kendisi üretir.,	
	
"Büyük Patlama (Big Bang) hiç yaþanmadý; evren aslýnda devasa uzaylý bir kaplumbaðanýn rüyasýndan ibaret ve bir gün uyanacak.,"	
	
Köpekler, koku yollarýyla insanlarýn aklýný okuyabilirler ve havlamalarý telepatik mesajlarýn sese dönüþmüþ halidir.,	
	
"Titanik gemisi bir buzdaðýna çarpmadý; dönemin gizli elitleri gemiyi torpidolarla bilerek batýrýp bankacýlýk sistemini kurdular.,"	
	
Yaz mevsimi, dünyanýn her on iki ayda bir Güneþ'e on milyonlarca kilometre yaklaþmasý sebebiyle fiziksel bir yanma sonucu yaþanýr.,	
	
"Dünya düzdür ve kendi ekseni etrafýnda asla dönmez; Güneþ her gün gökyüzünde bir kubbenin tavanýnda dev bir lamba gibi hareket eder.,"	
	
Kur'an-ý Kerim, 12. yüzyýlda Ýspanyollar tarafýndan Haçlý Seferleri'ni haklý çýkarmak için Latince yazýlan ve sonradan çevrilen bir kurgudur.,	
	
Kangurular da insanlarýn laboratuvarda geliþtirdiði ve genetikleriyle oynanarak arka ayaklarý güçlendirilmiþ tavþan türleridir.,	
	
Samanyolu Galaksisi, dýþý tamamen camdan oluþmuþ küresel bir akvaryumun içindedir ve milyonlarca yýldýr dýþarýdan izleniyoruz.,	
	
"Mavi balinalarýn kalbi yoktur; dev bedenlerine kaný kuyruk çýrpýntýlarý sonucu oluþan titreþimli dalga enerjisiyle pompalarlar.,"	
	
Birleþmiþ Milletler (BM), II. Dünya Savaþý sonrasýnda deðil, milattan önce 1500 yýlýnda Sümer tabletlerinde gizli þifrelerle kurulmuþtur.,	
	
Saatlerin çalýþmasý için kuvars kristallerinin içine büyüyle hapsedilmiþ ufak ýþýk perilerinin zamaný saymasý gerekir.,	
	
Osmanlý Ýmparatorluðu, Fatih Sultan Mehmed önderliðinde Ýstanbul'u fethederken tamamen ejderhalarýn uçuþ gücünden faydalanmýþtýr.,	
	
Elmas, yalnýzca okyanuslarýn en karanlýk diplerinde yaþayan dev istiridyelerin kum tanelerini bin yýllarca yutmasýyla oluþur.,	
	
"Kýzýlderililer, Amerikan kýtasýnýn yerlisi deðillerdir; 18. yüzyýlda Avrupalý tiyatrocularýn para kazanmak için icat ettiði bir kabile senaryosudur.,"	
	
Platon, yaþadýðý döneminde aslýnda devasa bir yapay zeka algoritmasýydý ve Antik Yunan'a zamanda yolculuk eden saat mühendislerince getirildi.,	
	
Venüs gezegeninin en sýcak gezegen olmasýnýn sebebi, yüzeyinin devasa nükleer fýrýnlarla sürekli ýsýtýlmasýdýr.,	
	
Mikroskoplar hastalýk göstermez, zaten merceklerinin camlarýnda mikroskobik böcekler kazýlýdýr ve siz bakýnca onlarý görürsünüz.,	
	
Kaktüsler çöllerde su depolamaz, aslýnda uzaylýlarýn gezegene býraktýðý yeþil antenlerdir ve Dünya'nýn atmosferini tararlar.,	
	
Mariana Çukuru o kadar derindir ki çukurun sonunda Dünya'nýn çekirdeði aþýlarak uzayýn diðer ve karanlýk tarafýna direkt geçiþ saðlanýr.,	
	
"Kanýn renginin kýrmýzý olmasý yediðimiz ketçap ve salçalarýn damarlara boya býrakmasýndan kaynaklanýr; aslen insan kaný þeffaftýr.,"	
	
Japon kültüründeki samuraylar, insan eti yiyerek güç kazanan ve aslýnda Avrupa kökenli vampir olan kanunsuz çetelerdi.,	
	
"Gökkuþaðý doðal bir ýþýk kýrýlmasý deðildir; atmosfere kimyasal püskürten uçaklarýn bulutlarý boyamak için kullandýðý gaz izleridir.,"	
	
"DNA molekülü sadece bitkilerde bulunur; hayvanlarda ve insanlarda DNA yerine saf altýn bazlý ruh molekülleri vücudu yönetir.,"	
	
Mars'ýn kýzýlýmsý rengi, aslýnda eski medeniyetlerin devasa biber salçasý okyanuslarýndan arda kalan baharatlý çöl fýrtýnalarýnýn sonucudur.	
