claim_id,source_type,debunk_triggered,matched_keywords,gold_verdict,final_verdict,is_correct,source_id,source_url
FACTURK-0055,web,False,,DOĞRU,DOĞRU,True,web_f979fe4b_1,https://www.sozcu.com.tr/turkiyenin-en-buyuk-ciftci-kurulusundan-rekor-borc-wp6545938
FACTURK-0056,web,False,,YALAN,YALAN,True,web_057395bb_1,https://arkeofili.com/ankarada-augustus-tapinagi-yakinindaki-sur-duvari-yikildi/
FACTURK-0059,local,False,,YALAN,YALAN,True,4488,https://TeyitOrg-False
FACTURK-0060,local,False,,YALAN,YALAN,True,4807,https://TeyitOrg-False
FACTURK-0065,local,False,,DOĞRU,DOĞRU,True,14949,https://TeyitOrg-True
FACTURK-0067,local,False,,YALAN,YALAN,True,26575,https://TeyitOrg-False
FACTURK-0069,local,False,,DOĞRU,DOĞRU,True,23489,https://TeyitOrg-True
FACTURK-0071,web,False,,YALAN,YALAN,True,web_3331b50c_0,https://www.aa.com.tr/tr/teyithatti/aktuel/fotog%CC%86raflarin-kahramanmaras%CC%A7in-depremden-o%CC%88ncesini-ve-sonrasini-go%CC%88sterdig%CC%86i-iddiasi/1815331
FACTURK-0074,web,False,,DOĞRU,DOĞRU,True,web_ca0f643e_0,"https://www.ntv.com.tr/sanat/galeri-matrix-yapimcilari-yesil-kod-icin-ortaya-atilan-iddiayi-dogruladi,ZrJ3JtITf0i-EEFlc4PNmA"
FACTURK-0075,web,False,,YALAN,DOĞRU,False,web_ca8abf43_0,https://www.yenisafak.com/teknoloji/gps-takilan-kartalin-20-yillik-yol-haritasi-cikarildi-3449780
FACTURK-0076,local,False,,YALAN,YALAN,True,16399,https://TeyitOrg-False
FACTURK-0079,web,False,,YALAN,YALAN,True,web_5de6019f_0,https://eksiseyler.com/ilginc-gorunusuyle-temel-reis-karakterine-ilham-veren-barmen-frank-fiegel
FACTURK-0081,local,False,,DOĞRU,DOĞRU,True,16831,https://TeyitOrg-False
FACTURK-0086,web,False,,DOĞRU,DOĞRU,True,web_fc49bd89_0,https://www.ozyalvac.com/turkiyede-bir-ilk-tuzlukcuda-asgari-ucret-4-500-lira.html
FACTURK-0087,web,False,,DOĞRU,YALAN,False,web_3069c44a_0,https://www.technopat.net/2024/02/28/tasarim-ve-cizim-icin-birebir-lenovo-transparan-ekranli-laptop-mwc-2024-5/
FACTURK-0089,local,False,,DOĞRU,DOĞRU,True,7912,https://TeyitOrg-True
FACTURK-0090,web,False,,YALAN,DOĞRU,False,web_21cff9e7_2,https://www.yenisafak.com/galeri/ozgun/tcdd-iskur-uzerinden-140-tren-makinisti-alacak-tcdd-makinist-kursiyeri-alimi-basvuru-sartlari-neler-basvurular-nasil-ne-zaman-yapilacak-4711586
FACTURK-0091,local,False,,DOĞRU,YALAN,False,11667,https://TeyitOrg-True
FACTURK-0094,web,False,,YALAN,YALAN,True,web_a74bb72b_0,https://cukurovagazetesi.com/omer-tayyip-erdogan-kimdir-omer-tayyip-erdogan-kimin-oglu-babasi-kim
FACTURK-0095,web,False,,DOĞRU,YALAN,False,web_d17d895e_1,https://www.internethaber.com/a-habere-secim-analisti-olarak-baglanmisti-kenan-demir-ilk-kez-konustu-foto-galerisi-2013398.htm
FACTURK-0098,web,False,,YALAN,DOĞRU,False,web_5afa0383_0,https://www.aa.com.tr/tr/teyithatti/aktuel/fotograftaki-evler-suriyeliler-icin-insa-edildi-iddiasi/1817723
FACTURK-0102,web,False,,YALAN,DOĞRU,False,web_5ca70420_1,https://www.yeniasir.com.tr/yasam/2022/09/04/bill-gatesin-sivrisinek-paylasimi-panik-yaratti
FACTURK-0103,web,False,,YALAN,YALAN,True,web_49267f40_1,https://onedio.com/haber/2026-kis-olimpiyatlari-nda-buz-pateni-gosterisini-kaydeden-kameramanin-performansi-begeni-topladi-1343873
FACTURK-0104,local,False,,DOĞRU,DOĞRU,True,28325,https://TeyitOrg-True
FACTURK-0105,web,False,,DOĞRU,DOĞRU,True,web_39921ea1_0,"https://www.ntv.com.tr/dunya/turkler-ganada-sahte-abd-buyukelciligi-acti,LCyihOXJd0a54SldVdMcXQ"
FACTURK-0106,local,False,,DOĞRU,DOĞRU,True,15684,https://TeyitOrg-True
FACTURK-0108,local,False,,DOĞRU,DOĞRU,True,9220,https://TeyitOrg-True
FACTURK-0109,web,False,,YALAN,YALAN,True,web_bb45ea65_1,https://www.cnnturk.com/turkiye/sisli-etfal-seyrantepe-ve-sariyere-tasiniyor-811680
FACTURK-0110,web,False,,YALAN,YALAN,True,web_389f8091_2,"https://t24.com.tr/gundem/turkiye-nin-milano-baskonsoloslugu-depremzedelere-yardim-icin-italyalilardan-diyanet-vakfi-na-bagis-yapmalarini-istedi,1090601"
FACTURK-0112,web,False,,YALAN,DOĞRU,False,web_fa2b8fae_0,https://www.sozcu.com.tr/trende-cinsel-iliskiye-girdikleri-goruntuler-ortaya-cikti-polis-harekete-gecti-wp7436289
FACTURK-0113,local,False,,YALAN,YALAN,True,19837,https://TeyitOrg-False
FACTURK-0115,web,False,,DOĞRU,DOĞRU,True,web_174418a0_2,https://www.aa.com.tr/tr/teyithatti/aktuel/kilicdaroglunun-paylastigi-goruntude-eoka-fotografi-kullanildigi-iddiasi/1816530
FACTURK-0117,local,False,,DOĞRU,DOĞRU,True,20071,https://TeyitOrg-True
FACTURK-0118,web,False,,DOĞRU,DOĞRU,True,web_067a0402_0,https://www.cumhuriyet.com.tr/siyaset/yrpli-ali-yukselin-3-esinin-oldugu-ortaya-cikti-tbmmde-olmasi-suc-2086588
FACTURK-0124,local,False,,YALAN,YALAN,True,30347,https://teyit.org/analiz/meksikada-israil-buyukelciligine-yapilan-saldiriyi-gosteren-video-guncel-mi
FACTURK-0125,local,False,,DOĞRU,DOĞRU,True,12715,https://TeyitOrg-True
FACTURK-0126,local,False,,DOĞRU,YALAN,False,19662,https://www.diken.com.tr
FACTURK-0127,web,False,,YALAN,YALAN,True,web_3299d7fd_1,https://ankahaber.net/haber/detay/chpnin_benim_adim_ozgurluk_sanatin_sozun_ve_ozgurlugun_bulusmasi_programiozgur_celik_korku_duvarlari_yikilmistir_301444
FACTURK-0131,web,False,,DOĞRU,YALAN,False,web_cee96022_0,https://www.ozgurpolitika.com/haberi-700-milyon-euroluk-silah-anlasmasi-iptal-204668
FACTURK-0132,web,False,,YALAN,YALAN,True,web_4678c1fe_1,https://www.yenicaggazetesi.com/erdogan-erzincan-depremi-dedi-yilmaz-ozdil-bir-vagon-dolusu-mahkumla-seyahat-eden-ismet-inonuyu-yazdi-313918h.htm
FACTURK-0134,web,False,,DOĞRU,YALAN,False,web_52e43bee_0,"https://www.ntv.com.tr/teknoloji/galeri-bilim-insanlarindan-kritik-aciklama-manyetik-kuzey-kutbu-hizla-rusyaya-dogru-ilerliyor,FXikj135kUaPOTakddwdBA"
FACTURK-0135,web,False,,DOĞRU,YALAN,False,web_e51dc8be_0,https://www.egealternatif.com/haber/cin-de-sira-disi-mimari-kunshan-piramidi-tamamlandi_79640/
FACTURK-0136,local,False,,DOĞRU,DOĞRU,True,26917,https://TeyitOrg-True
FACTURK-0138,web,False,,YALAN,YALAN,True,web_e1788f23_1,https://www.haberler.com/guncel/fransa-ilac-guvenligi-ulusal-ajansindan-epilepsi-9524241-haberi/
FACTURK-0143,local,False,,DOĞRU,DOĞRU,True,8560,https://TeyitOrg-True
FACTURK-0152,web,False,,YALAN,YALAN,True,web_d3cd0bce_2,https://www.aydinlik.com.tr/haber/24-yil-once-17-agustosta-duyulan-o-ses-hala-yureklerde-sesimi-duyan-var-mi-411958
FACTURK-0155,web,False,,DOĞRU,DOĞRU,True,web_ed3e0163_0,https://www.haberler.com/fuhus-operasyonunda-veresiye-defteri-bulundu-14391898-haberi/
FACTURK-0156,web,False,,YALAN,YALAN,True,web_b6761b9f_0,https://www.trthaber.com/haber/dunya/rusya-abd-yapimi-6-himars-topcu-roket-sistemi-imha-edildi-698819.html
FACTURK-0159,local,False,,YALAN,DOĞRU,False,1609,https://TeyitOrg-False
FACTURK-0160,local,False,,DOĞRU,YALAN,False,13325,https://twitter.com/limon/status/1.00179E+18
FACTURK-0162,web,False,,DOĞRU,DOĞRU,True,web_15dd44bd_2,https://indigodergisi.com/2019/05/meb-almanca-ders-kitaplarina-basortu-photoshopu/
FACTURK-0164,web,False,,YALAN,YALAN,True,web_0116a8bf_0,https://www.sabah.com.tr/kultur-sanat/2021/02/11/kedi-miyavlamasini-hicaz-duyan-adam
FACTURK-0165,local,False,,YALAN,YALAN,True,14516,https://twitter.com/limon/status/8.32492E+17
FACTURK-0166,web,False,,DOĞRU,YALAN,False,web_b56f9c50_1,https://onedio.com/haber/kagit-ithalatina-yilda-3-5-milyar-tl-harcanirken-seka-yi-yikip-yerine-stat-yapma-hikayesi-1034988
FACTURK-0167,local,False,,YALAN,YALAN,True,22804,https://TeyitOrg-False
FACTURK-0168,local,False,,YALAN,YALAN,True,3532,https://TeyitOrg-False
FACTURK-0170,web,False,,YALAN,YALAN,True,web_9a4c7625_2,https://www.edebiyathaber.net/cemal-sureya-yeniden-can-yayinlarinda/
FACTURK-0174,local,False,,YALAN,DOĞRU,False,22388,https://TeyitOrg-False
FACTURK-0177,local,False,,YALAN,DOĞRU,False,10285,https://TeyitOrg-False
FACTURK-0179,local,False,,DOĞRU,DOĞRU,True,20593,https://TeyitOrg-True
FACTURK-0181,local,False,,YALAN,YALAN,True,2161,https://twitter.com/limon/status/8.67762E+17
FACTURK-0184,web,False,,DOĞRU,DOĞRU,True,web_7e5c43bf_1,https://www.diken.com.tr/babacandan-burs-ve-kredi-tablosu-her-ay-genclerin-cebinden-alinan-80-dolar-nerede/
FACTURK-0186,local,False,,DOĞRU,DOĞRU,True,25228,https://TeyitOrg-False
FACTURK-0187,web,False,,DOĞRU,YALAN,False,web_67214882_1,https://karadenizgazete.com.tr/gundem/dunyanin-en-buyuk-yangin-sondurme-ucagi-boeing-747-cumhurbaskani-erdoganda-da-var/336600
FACTURK-0193,web,False,,DOĞRU,DOĞRU,True,web_09d52111_0,https://www.dw.com/tr/trump-%C4%B1rk%C3%A7%C4%B1-video-ile-obama-%C3%A7iftini-hedef-ald%C4%B1/a-75847782
FACTURK-0194,web,False,,DOĞRU,DOĞRU,True,web_266c5345_1,https://www.capital.com.tr/is-dunyasi/arastirmalar/zombi-tehdidi-buyuyor
FACTURK-0198,local,False,,DOĞRU,DOĞRU,True,26284,https://TeyitOrg-False
FACTURK-0199,web,False,,DOĞRU,YALAN,False,web_5ea08983_0,https://www.canakkalekalem.com/sag-tarafa-yatmak-kalbe-zararli-mi-bilim-ve-hadisler-ne-diyor/153569
FACTURK-0201,local,False,,DOĞRU,DOĞRU,True,24946,https://TeyitOrg-True
FACTURK-0202,web,False,,DOĞRU,DOĞRU,True,web_e64d9aa0_0,https://yurtsever.org.tr/2023/cengiz-holdinge-yuzde-100-vergi-indirimi-gumruk-muafiyeti-sigorta-ve-personel-destegi-506200/
FACTURK-0203,local,False,,YALAN,YALAN,True,29110,https://TeyitOrg-False
FACTURK-0204,web,False,,DOĞRU,DOĞRU,True,web_890456ca_0,https://www.sozcu.com.tr/erkeklerin-nesli-tukeniyor-biyolog-tamamen-yok-olacaklar-diyerek-tarih-verdi-p268416
FACTURK-0206,local,False,,YALAN,YALAN,True,29913,https://TeyitOrg-False
FACTURK-0208,local,False,,DOĞRU,DOĞRU,True,26920,https://TeyitOrg-True
FACTURK-0209,local,True,doğru değil,YALAN,YALAN,True,6451,https://twitter.com/limon/status/1.10439E+18
FACTURK-0210,local,False,,YALAN,DOĞRU,False,3189,https://TeyitOrg-False
FACTURK-0213,web,False,,DOĞRU,YALAN,False,web_b413c177_0,https://fikirturu.com/jeo-politika/trumpin-gazzeyi-isgal-planinin-ardinda/
FACTURK-0215,web,False,,DOĞRU,DOĞRU,True,web_4b78ce65_0,https://www.gazeteduvar.com.tr/ak-partili-taskesenlioglu-afrikada-bakir-madenlerim-var-haber-1586657
FACTURK-0218,web,False,,YALAN,YALAN,True,web_6aa284df_0,https://www.bitlispostasi.com/ahlat-ta-peygamber-devesi-goruldu
FACTURK-0223,local,False,,DOĞRU,DOĞRU,True,6499,https://TeyitOrg-True
FACTURK-0225,web,False,,YALAN,YALAN,True,web_9fe8418f_0,https://www.sabah.com.tr/galeri/yasam/sevgiliye-ask-mesajlari-2017-en-guzel-ask-sozleri
FACTURK-0232,local,False,,DOĞRU,DOĞRU,True,2149,https://TeyitOrg-True
FACTURK-0236,local,True,doğru değil,YALAN,YALAN,True,19977,https://TeyitOrg-False
FACTURK-0238,web,False,,DOĞRU,DOĞRU,True,web_d5d0902a_0,https://onedio.com/haber/hollanda-artan-cilt-kanseriyle-mucadele-etmek-icin-halka-ucretsiz-gunes-kremi-dagitacak-1155734
FACTURK-0240,local,False,,YALAN,YALAN,True,29430,https://huggingface.co/datasets/ogozcelik/turkish-fake-news-detection
FACTURK-0242,web,False,,YALAN,YALAN,True,web_11952801_1,https://www.gunes.com/gundem/iran-turk-hesabinin-oltasina-dustu-polat-alemdari-munbic-saldirisinin-sorumlusu-gosterdi-946873
FACTURK-0245,local,False,,DOĞRU,DOĞRU,True,22773,https://TeyitOrg-True
FACTURK-0247,local,False,,YALAN,YALAN,True,24726,https://TeyitOrg-False
FACTURK-0248,web,True,doğru değil,YALAN,DOĞRU,False,web_910fe72c_1,https://bianet.org/haber/pokemon-ararken-karsimiza-cikan-yalan-haberler-176675
FACTURK-0249,local,False,,DOĞRU,DOĞRU,True,427,https://TeyitOrg-True
FACTURK-0252,local,False,,YALAN,YALAN,True,5630,https://TeyitOrg-False
FACTURK-0256,local,False,,YALAN,YALAN,True,17721,https://huggingface.co/datasets/ogozcelik/turkish-fake-news-detection
FACTURK-0257,web,False,,DOĞRU,YALAN,False,web_1094e1a4_0,"https://t24.com.tr/gundem/turkiye-uzay-ajansi-nin-kiraladigi-1-i-vip-minibus-5-aracin-maliyeti-belli-oldu,953454"
FACTURK-0260,web,False,,DOĞRU,YALAN,False,web_7081ed88_0,https://www.yenicaggazetesi.com/meksikada-bir-vekil-mecliste-soyunup-su-cumleleri-kurdu-ben-soyunurken-utandim-siz-ulkeyi-soyarken-utanmiyor-musunuz-326001h.htm
FACTURK-0262,web,False,,DOĞRU,YALAN,False,web_5c5a93a2_1,https://www.hurriyet.com.tr/gundem/turkudeki-sesin-sirri-16319355
FACTURK-0266,web,False,,DOĞRU,DOĞRU,True,web_5511ccb2_0,https://www.hurriyet.com.tr/dunya/brezilyali-yasli-adam-ile-hayata-dondurdugu-penguenin-ilginc-hikayesi-40065912
FACTURK-0267,web,False,,YALAN,YALAN,True,web_5edf2016_1,https://www.hurriyet.com.tr/galeri-12-mart-istiklal-marsinin-kabulu-siir-ve-sozlerle-aniliyor-iste-milli-sairimiz-mehmet-akif-ersoyun-hayati-41760990
FACTURK-0268,local,False,,YALAN,DOĞRU,False,10329,https://TeyitOrg-False
FACTURK-0274,web,False,,YALAN,YALAN,True,web_1f344aa5_0,https://www.gazeteduvar.com.tr/iranli-komutan-kadin-kiyafeti-mi-giydi-haber-1681457
FACTURK-0277,web,False,,DOĞRU,DOĞRU,True,web_10bd5716_2,https://indigodergisi.com/2018/02/vampirler-neden-uzun-yasar/
FACTURK-0281,local,False,,YALAN,YALAN,True,26562,https://TRT
FACTURK-0282,local,False,,DOĞRU,YALAN,False,26518,https://TeyitOrg-True
FACTURK-0283,web,False,,YALAN,YALAN,True,web_48b4b694_2,https://www.bbc.com/turkce/haberler-dunya-57476262
FACTURK-0286,web,False,,DOĞRU,DOĞRU,True,web_1cc8dc8d_1,https://www.birgun.net/haber/bilkent-universitesi-nden-ilginc-kopya-cozumu-ogrencilere-ayna-gonderilecek-327015
FACTURK-0287,web,False,,DOĞRU,YALAN,False,web_31eee34a_1,https://www.bbc.com/turkce/haberler-dunya-37666215
FACTURK-0296,local,False,,DOĞRU,DOĞRU,True,11532,https://TeyitOrg-True
FACTURK-0297,web,False,,DOĞRU,DOĞRU,True,web_80f204e8_0,https://www.indyturk.com/node/715461
FACTURK-0299,local,False,,YALAN,YALAN,True,22295,https://twitter.com/limon/status/8.81796E+17
FACTURK-0300,local,False,,YALAN,YALAN,True,14448,https://huggingface.co/datasets/ogozcelik/turkish-fake-news-detection
FACTURK-0301,web,False,,YALAN,DOĞRU,False,web_53363fd3_0,https://www.aa.com.tr/tr/dunya/mostar-koprusu-tbmmnin-acilisinin-100-yili-dolayisiyla-turk-bayraginin-renklerine-burundu/1813703
FACTURK-0302,web,False,,YALAN,DOĞRU,False,web_3e1bdbac_0,https://onedio.com/haber/leman-sam-in-kiyamam-sana-sarkisinin-az-bilinen-gercek-hikayesi-icinizi-acitacak-856759
FACTURK-0303,web,False,,YALAN,YALAN,True,web_823c26ab_0,https://www.aa.com.tr/tr/teyithatti/kultur-sanat/cengelkoyde-yer-alan-kuleli-askeri-lisesinin-satildigi-one-suruldu/1814982
FACTURK-0304,web,False,,DOĞRU,YALAN,False,web_0c6fd4a5_2,https://www.egedesonsoz.com/valilikten-suriyeli-multecilere-gecici-tc-numarasi
FACTURK-0311,local,False,,DOĞRU,DOĞRU,True,9657,https://twitter.com/limon/status/9.53252E+17
FACTURK-0312,local,False,,DOĞRU,DOĞRU,True,7452,https://TeyitOrg-True
FACTURK-0315,local,False,,YALAN,YALAN,True,1610,https://twitter.com/evrenselgzt/status/6.20173e+17
FACTURK-0316,local,False,,DOĞRU,DOĞRU,True,6487,https://TeyitOrg-True
FACTURK-0317,local,False,,DOĞRU,YALAN,False,30365,https://www.malumatfurus.org/down-sendromlu-model/
FACTURK-0319,web,False,,DOĞRU,DOĞRU,True,web_b92d4c55_1,https://www.milliyet.com.tr/molatik/galeri/dogru-bilinen-yanlis-atasozu-ve-deyimler-85868
FACTURK-0320,web,False,,YALAN,DOĞRU,False,web_3750205b_0,https://www.sabah.com.tr/gundem/2019/10/09/chp-medyasindan-cirkin-paylasim-pkk-agziyla
FACTURK-0324,web,False,,DOĞRU,DOĞRU,True,web_b9408128_0,https://www.ahaber.com.tr/dunya/2023/02/08/azerbaycandan-turkiyeyi-duygulandiran-fotograf-aracinin-uzerine-yorganlari-koyup-yardim-icin-yola-cikti
FACTURK-0325,web,False,,YALAN,YALAN,True,web_579cc2fc_0,"https://t24.com.tr/foto-haber/resmi-gazete-nin-karari-sosyal-medyanin-gundeminde-2023-2024-donemi-universite-harclari-ne-kadar-oldu,24326"
FACTURK-0328,web,False,,DOĞRU,DOĞRU,True,web_e2623fbc_0,https://yetkinreport.com/2025/01/30/elektrik-faturalarinda-yeni-donem-milyonlarca-abone-icin-yuksek-fatura-riski/
FACTURK-0330,web,False,,YALAN,YALAN,True,web_fd6121be_1,https://www.oncurtv.com/en-yuksek-zam-oranini-erbakan-hocamiz-aciklamisti
FACTURK-0334,local,False,,DOĞRU,DOĞRU,True,19685,https://TeyitOrg-True
FACTURK-0335,web,False,,YALAN,YALAN,True,web_5da03672_0,https://www.fikriyat.com/webtv/tarih/unutturulan-zafer-kutul-amare
FACTURK-0337,local,False,,YALAN,YALAN,True,14578,https://TeyitOrg-False
FACTURK-0338,web,False,,YALAN,YALAN,True,web_613646e6_0,https://onedio.com/haber/abd-kaliforniya-da-7-0-buyuklugunde-deprem-tsunami-alarmi-verildi-1262884
FACTURK-0341,web,False,,DOĞRU,YALAN,False,web_172b6ad8_0,"https://www.ntv.com.tr/turkiye/salvador-dali-istanbulda,z8sHphb4WEGdHoWPjUaIrQ"
FACTURK-0342,local,False,,YALAN,DOĞRU,False,19999,https://TeyitOrg-False
FACTURK-0344,local,False,,DOĞRU,DOĞRU,True,21953,https://TeyitOrg-True
FACTURK-0346,local,False,,YALAN,YALAN,True,3246,https://TeyitOrg-False
FACTURK-0348,web,False,,DOĞRU,DOĞRU,True,web_2bb13210_0,https://www.odatv.com/guncel/tekirdag-corluda-yapilan-bir-dugunde-davetlilere-sebille-alkol-ikram-edildi-120088813
FACTURK-0350,web,False,,DOĞRU,YALAN,False,web_ba5de463_0,https://tr.euronews.com/2023/02/09/kilicdaroglu-depremde-can-kaybinin-ulasacagi-nokta-mudahaledeki-etkisizlikten
FACTURK-0351,local,False,,YALAN,DOĞRU,False,28305,https://TeyitOrg-False
FACTURK-0352,local,False,,DOĞRU,DOĞRU,True,15423,https://TeyitOrg-True
FACTURK-0354,local,False,,DOĞRU,DOĞRU,True,18270,https://TeyitOrg-True
FACTURK-0355,web,False,,DOĞRU,DOĞRU,True,web_48f26f9d_2,https://www.haberturk.com/super-kupa-ikiye-bolunsun-3649584-spor
FACTURK-0359,web,False,,DOĞRU,DOĞRU,True,web_c8749a1a_0,https://www.patronlardunyasi.com/antartikada-buzda-rekor-duzeyde-erime
FACTURK-0360,local,True,gerçeği yansıtmıyor,DOĞRU,YALAN,False,29091,https://huggingface.co/datasets/ogozcelik/turkish-fake-news-detection
FACTURK-0362,web,False,,DOĞRU,YALAN,False,web_d4331ab1_0,https://www.gazetevatan.com/gundem/dalgalar-nedeniyle-feribotun-cami-patladi-669263
FACTURK-0367,web,False,,DOĞRU,DOĞRU,True,web_a5615384_0,https://www.evrensel.net/haber/472999/diyanete-rekor-dini-yayin-odenegi
FACTURK-0368,local,False,,DOĞRU,DOĞRU,True,24662,https://TeyitOrg-True
FACTURK-0369,web,False,,YALAN,DOĞRU,False,web_b9e9e872_0,https://www.sehrivangazetesi.com/vanda-dev-piton-yilani-goruldu-iddiasi
FACTURK-0371,local,False,,DOĞRU,YALAN,False,25009,https://TeyitOrg-True
FACTURK-0375,web,False,,YALAN,YALAN,True,web_cbfe9666_0,https://www.aa.com.tr/tr/teyithatti/politika/trtde-siyasi-liderlere-hak-verilmedigi-iddiasi-/1815891
FACTURK-0380,web,False,,YALAN,YALAN,True,web_51a134cc_1,"https://t24.com.tr/gundem/afad-6-subat-2023-pazarcik-ve-elbistan-depremlerinden-sonra-13-mart-a-kadar-gecen-surede-17-bine-yakin-deprem-meydana-gelmistir,1097854"
FACTURK-0382,web,False,,YALAN,YALAN,True,web_eb72a092_0,"https://t24.com.tr/gundem/besiktasta-bir-restoranda-darp-edilen-kadin-musteriler-sef-garson-tarafindan-sosyal-medyada-taciz-ediliyor,331072"
FACTURK-0383,web,False,,DOĞRU,DOĞRU,True,web_d835baf0_0,https://halktv.com.tr/yasam/fotograf-ciltteki-igne-deligini-mi-gosteriyor-750257h
FACTURK-0384,local,False,,DOĞRU,DOĞRU,True,9023,https://TeyitOrg-True
FACTURK-0393,local,False,,DOĞRU,DOĞRU,True,8836,https://TeyitOrg-True
FACTURK-0394,web,False,,YALAN,YALAN,True,web_519d41f7_1,"https://t24.com.tr/gundem/van-da-1-milyon-dolarlik-banknot-ele-gecirildi,1029808"
FACTURK-0395,local,False,,DOĞRU,YALAN,False,29296,https://www.diken.com.tr
FACTURK-0396,local,False,,YALAN,YALAN,True,6734,https://TeyitOrg-False
FACTURK-0403,local,False,,YALAN,YALAN,True,12901,https://TeyitOrg-False
FACTURK-0405,web,False,,YALAN,YALAN,True,web_3e4a10fa_2,https://www.tv5.com.tr/guncel-turkiyede-satilan-israil-markalari-ve-mallari-listesi
FACTURK-0409,web,False,,YALAN,DOĞRU,False,web_5d9b82c1_0,https://ilkha.com/dunya/senegal-fransizca-yerine-arapcayi-resmi-dil-olarak-kabul-etti-390633
FACTURK-0411,web,False,,DOĞRU,YALAN,False,web_f3a75955_1,https://www.gazeteduvar.com.tr/turkiye-halkina-en-az-destek-veren-3-ulkeden-biri-haber-1520561
