claim_id,text,gold_label,annotator_A1,annotator_A2,annotator_A3,is_disputed,dispute_resolved_round
G0038,"WhatsApp artık ücretli, mesaj başına 0.10 TL ödenecek.",0,0,0,0,0,1
G0039,Cumhurbaşkanı G20 zirvesine katıldı.,1,1,1,1,0,1
G0040,Türk yatırımcılar Dubai'de ofis açtı.,1,1,1,0,1,2
G0041,Tarım Bakanlığı çiftçi destek ödemelerini başlattı.,1,1,1,1,1,2
G0042,Türk diasporası Avustralya'da kültür etkinliği düzenledi.,1,1,1,0,1,2
G0043,İstanbul'da metro tamamen ücretsiz hale geliyor.,0,0,0,0,1,2
G0044,Türk diasporası Fransa'da sivil toplum örgütü kurdu.,1,1,1,0,1,2
G0045,İstanbul'da iş insanları forumu düzenlendi.,1,1,1,1,1,2
G0046,"Türkiye Kıbrıs'ı resmen ilhak etti, BM'ye bildirim yapıldı.",0,0,0,1,1,2
G0047,Türkiye'de bu ay 500 kişi kayıt dışı çalışma nedeniyle tutuklandı.,0,0,0,0,1,2
G0048,SEDDK sigorta sektörü verilerini yayımladı.,1,1,1,0,1,2
G0049,"Bu görüntü Türkiye değil, Ukrayna bombardımanından alındı.",0,0,0,0,1,2
G0050,Türkiye'de bu yıl 3 milyon kişi işini kaybetti.,0,0,0,1,1,2
G0051,Türkiye'de artık vatandaşlar iki pasaport alamıyor.,0,0,0,0,1,2
G0052,"Bu şarkıcı sahte kimlikle yaşıyor, gerçek adı farklı.",0,0,0,1,1,2
G0053,İnstagram hesabı sayısına göre vergi alınacak.,0,0,0,0,1,2
G0054,Çevre Bakanlığı sıfır atık projesinin kapsamını genişletti.,1,1,1,0,1,2
G0055,Kartal sahilinde meydana gelen kaza sonrasında yaralanan vatandaşlar taburcu edildi.,1,1,1,1,1,2
G0056,"Bilim insanları: Güneş 6 ay sonra sönüyor, hazırlıklı olun.",0,0,0,1,1,2
G0057,"Galatasaray maçı hakemi rüşvetle satın alındı, kayıt ortaya çıktı.",0,0,0,0,1,2
G0058,Seçimlerde kullanılan oyların yüzde 30'u geçersiz sayıldı.,0,0,0,0,0,1
G0059,Denizcilik Genel Müdürlüğü yeni düzenlemeyi yürürlüğe koydu.,1,1,1,1,0,1
G0060,Borsa İstanbul'da BIST 100 endeksi rekor kırdı.,1,1,1,1,0,1
G0061,"Bu bölgede su kuyuları zehirlendi, kimyasal silah izi bulundu.",0,0,0,0,0,1
G0062,İstanbul'un nüfusu artık 30 milyona ulaştı.,0,0,0,0,0,1
G0063,"Bu fotoğraf bugünkü olayları değil, 2015 mülteci krizini gösteriyor.",0,0,0,0,0,1
G0064,Yeni ilacı içen hastaların yüzde 40'ında kalp ritim bozukluğu görüldü.,0,0,0,0,0,1
G0065,"Türkiye'de artık oy verme zorunlu, oy kullanmayana hapis.",0,0,0,0,0,1
G0066,"AKP seçim hilesi yaptı, sandıklar manipüle edildi.",0,0,0,0,0,1
G0067,Yeni yasa: Vatandaşlar artık banka hesaplarını gizleyemez.,0,0,0,0,0,1
G0068,Türk üniversitesi uluslararası sıralamada yer aldı.,1,1,1,1,0,1
G0069,Yeni torba yasayla çalışanlara ek vergi geliyor.,0,0,0,0,0,1
G0070,Türkiye 2030'a kadar kişi başı geliri 50 bin dolara çıkaracak.,0,0,0,0,0,1
G0071,"Yeni ilaç Alzheimer'ı tamamen iyileştiriyor, satışa çıkıyor.",0,0,0,0,0,1
G0072,İstanbul Büyükşehir Belediyesi trafik yönetimi sistemini güncelledi.,1,1,1,1,0,1
G0073,Türk savunma şirketi yurt dışında yeni anlaşma imzaladı.,1,1,1,1,0,1
G0074,Tüm telefonlar gizli olarak Cumhurbaşkanlığı sunucularına bağlı.,0,0,0,0,0,1
G0075,Yeni torba yasa ile özel sağlık sigortası zorunlu hale geliyor.,0,0,0,0,0,1
G0076,Türkiye'de otomotiv üretimi geçen yıla göre arttı.,1,1,1,1,0,1
G0077,Tüm uçuşlar bu hafta sonu teknik arıza nedeniyle iptal.,0,0,0,0,0,1
G0078,Türkiye Cumhurbaşkanı Almanya Başbakanı ile görüştü.,1,1,1,1,0,1
G0079,İstanbul'da yeni kültür merkezi açıldı.,1,1,1,1,0,1
G0080,TOBB verilerine göre geçen ay 10.000 yeni şirket kuruldu.,1,1,1,1,0,1
G0081,Türkiye'de deprem sigortası artık zorunlu ve 10 kat pahalı.,0,0,0,0,0,1
G0082,Türk lirasının değeri 1 yılda sıfır oldu.,0,0,0,0,0,1
G0083,Türkiye Rusya ile gizli anlaşma imzaladı.,0,0,0,0,0,1
G0084,Türkiye kıyı temizleme seferberliği başlattı.,1,1,1,1,0,1
G0085,"Bu bitki içilirse kolesterol 1 günde normalleşiyor, doktorlar saklıyor.",0,0,0,0,0,1
G0086,Türkiye finans varlıklarının tamamı donduruldu.,0,0,0,0,0,1
G0087,Çanakkale köprüsü çatlaklar yüzünden yarın kapatılıyor.,0,0,0,0,0,1
G0088,Türkiye yüksek lisans programlarına kayıt sayıları açıklandı.,1,1,1,1,0,1
G0089,Türkiye'de kişi başı gelir verileri güncellendi.,1,1,1,1,0,1
G0090,"Bu aşı cinsel işlev bozukluğuna yol açıyor, kanıtlandı.",0,0,0,0,0,1
G0091,Milli Eğitim yabancı dil derslerini tamamen kaldırıyor.,0,0,0,0,0,1
G0092,Türkiye Ukrayna tahıl anlaşmasına destek verdi.,1,1,1,1,0,1
G0093,TÜFE verileri Türk İstatistik Kurumu tarafından açıklandı.,1,1,1,1,0,1
G0094,Gazetecilerin yüzde 90'ı hükümet baskısıyla susmak zorunda kaldı.,0,0,0,0,0,1
G0095,Süper Lig'in yeni sezon fikstürü açıklandı.,1,1,1,1,0,1
G0096,"Bu görüntü Türkiye ormanı değil, Amazon yangını.",0,0,0,0,0,1
G0097,Doğu Anadolu'da kar yağışı etkili oldu.,1,1,1,1,0,1
G0098,"Türkiye Suriye'ye toprak verdi, anlaşma imzalandı.",0,0,0,0,0,1
G0099,BOTAŞ doğalgaz arzının kesintisiz süreceğini açıkladı.,1,1,1,1,0,1
G0100,"Koronavirüs aşısı içinde canlı takip çipi var, kanıtlandı!",0,0,0,0,0,1
G0101,Türk kültür merkezi Londra'da açıldı.,1,1,1,1,0,1
G0102,Bu ilacı kullananlar ciddi yan etki yaşıyor.,0,0,0,0,0,1
G0103,Türkiye karbon nötrlük yol haritasını yayımladı.,1,1,1,1,0,1
G0104,Bunların hepsi sahte haber test cümlesidir - bu gerçek bir iddia değildir.,0,0,0,0,0,1
G0105,Türkiye çiftçi kayıt sistemini dijitalleştirdi.,1,1,1,1,0,1
G0106,TCMB politika faizini 150 baz puan artırdı.,1,1,1,1,0,1
G0107,Türkiye'de okul kitaplarından Atatürk'ün adı kaldırıldı.,0,0,0,0,0,1
G0108,Buzdolabında bekletilen su kanser yapıyor.,0,0,0,0,0,1
G0109,"Türkiye NATO'dan resmen çekildi, duyuru yapıldı.",0,0,0,0,0,1
G0110,Türkiye Rusya sınırında büyük askeri üs kurdu.,0,0,0,0,0,1
G0111,Türkiye'de yeni bir otoyol hizmete açıldı.,1,1,1,1,0,1
G0112,"Türkiye petrol buldu, dünya rezervlerinin yüzde 10'unu kapsıyor.",0,0,0,0,0,1
G0113,Sağlık Bakanlığı diyabet tarama programı başlattı.,1,1,1,1,0,1
G0114,Yeni yasayla emeklilerin tüm maaşları donduruldu.,0,0,0,0,0,1
G0115,Türkiye deniz kuvvetleri tatbikat tamamladı.,1,1,1,1,0,1
G0116,Türkiye'de elektrikli araç satışları artıyor.,1,1,1,1,0,1
G0117,Askeri personele maaş artışı yerine kesinti yapılıyor.,0,0,0,0,0,1
G0118,Tüm evcil hayvan sahipleri yıllık ruhsat almak zorunda.,0,0,0,0,0,1
G0119,Türkiye-İtalya ortaklığı kapsamında yeni proje imzalandı.,1,1,1,1,0,1
G0120,Yurt dışında yaşayan Türkler oy hakkını kaybetti.,0,0,0,0,0,1
G0121,Ankara'da 8.5 büyüklüğünde deprem olacağı kesinleşti!,0,0,0,0,0,1
G0122,"İstanbul'da tüm köprüler bu yıl kapatılacak, geçiş ücretleri artıyor.",0,0,0,0,0,1
G0123,İstanbul'da yeni kültür-sanat merkezi açıldı.,1,1,1,1,0,1
G0124,"Türkiye dünyada en hızlı büyüyen ekonomi oldu, IMF açıkladı.",0,0,0,0,0,1
G0125,Meclis gizli oturumda savaş ilan etme kararı aldı.,0,0,0,0,0,1
G0126,Milli takım Avrupa şampiyonası eleme turunda mücadele etti.,1,1,1,1,0,1
G0127,Türkiye güneş enerjisi üretiminde rekor kırdı.,1,1,1,1,0,1
G0128,Türkiye'de bağımsız denetim firması sayısı arttı.,1,1,1,1,0,1
G0129,Türk okçusu uluslararası yarışmada madalya kazandı.,1,1,1,1,0,1
G0130,Anayasa Mahkemesi bireysel başvuruya ilişkin kararını açıkladı.,1,1,1,1,0,1
G0131,"Bu fotoğraf Türkiye depremi değil, Afganistan savaşından.",0,0,0,0,0,1
G0132,Türkiye Avrupa hibe programlarına katılım sağladı.,1,1,1,1,0,1
G0133,"Bu haberler tamamen sahte, doğrulanamayan iddialar içeriyor.",0,0,0,0,0,1
G0134,Adalet Bakanlığı yargı reform paketini meclise sundu.,1,1,1,1,0,1
G0135,Bu ilaç şirketi kanser tedavisini kasıtlı olarak geciktiriyor.,0,0,0,0,0,1
G0136,"Türkiye 10 yıl içinde çölleşecek, rapor gizlendi.",0,0,0,0,0,1
G0137,"Türkiye çevresel çöküş sürecinde, uydu görüntüleri kanıtladı.",0,0,0,0,0,1
G0138,Kanada Türk vatandaşlarına vizeyi tamamen kaldırdı!,0,0,0,0,0,1
G0139,Türkiye Afrika ülkesine insani yardım gönderdi.,1,1,1,1,0,1
G0140,Hazine yeni tahvil ihracı yaptı.,1,1,1,1,0,1
G0141,"Çocuklara verilen aşılar onları steril yapıyor, gizli plan!",0,0,0,0,0,1
G0142,İzmir'de doğal gaz sondajı başladı.,1,1,1,1,0,1
G0143,"Boğaziçi Üniversitesi kapatılıyor, öğrenciler nakledilecek.",0,0,0,0,0,1
G0144,Türk sanayici Orta Asya'da yatırım gerçekleştirdi.,1,1,1,1,0,1
G0145,Fenerbahçe-Galatasaray derbisi İstanbul'da oynandı.,1,1,1,1,0,1
G0146,Türkiye Borsa İstanbul'da işlem gören şirket sayısı arttı.,1,1,1,1,0,1
G0147,Gizli kararname: TikTok ve YouTube tamamen yasaklandı.,0,0,0,0,0,1
G0148,"İzmir depremi Yunanistan tarafından tetiklendi, delil var.",0,0,0,0,0,1
G0149,Bu şirkete yatırım yaparsanız kısa sürede paraya boğulursunuz.,0,0,0,0,0,1
G0150,"Zeytinyağı içmek kalp hastalığını tamamen önlüyor, kanıtlandı.",0,0,0,0,0,1
G0151,"Bu haberler manipüle edilmiş, kaynak güvenilir değil.",0,0,0,0,0,1
G0152,Türk yetkilileri gizlice tüm özel yazışmaları okuyor.,0,0,0,0,0,1
G0153,Hava sahası tüm yabancı uçuşlara kapatıldı.,0,0,0,0,0,1
G0154,Türkiye eğitimde öğretmen sayısını artırdı.,1,1,1,1,0,1
G0155,"Bu fotoğraf gerçek değil, yapay zeka tarafından üretildi.",0,0,0,0,0,1
G0156,TÜBİTAK ar-ge projesine fon tahsis etti.,1,1,1,1,0,1
G0157,Galatasaray Şampiyonlar Ligi'ne katılma hakkı kazandı.,1,1,1,1,0,1
G0158,Yeni konut projesine inşaat ruhsatı verildi.,1,1,1,1,0,1
G0159,DSÖ Kovid-19'un laboratuvarda yapıldığını açıkladı.,0,0,0,0,0,1
G0160,Yeni anket: Türklerin yüzde 80'i yurt dışına gitmek istiyor.,0,0,0,0,0,1
G0161,"Emekliler bu yıl maaş almayacak, fon açığı nedeniyle dondurma.",0,0,0,0,0,1
G0162,"Türkiye haritada yanlış gösteriliyordu, harita düzeltildi.",0,0,0,0,0,1
G0163,Türkiye'yi terk eden şirket sayısı geçen ay 5000'e ulaştı.,0,0,0,0,0,1
G0164,Türkiye Hazine ve Maliye Bakanlığı enflasyon verilerini açıkladı.,1,1,1,1,0,1
G0165,Mevlana'nın vefat yıl dönümü Konya'da törenle anıldı.,1,1,1,1,0,1
G0166,Türkiye su güvenliği politikasını güncelledi.,1,1,1,1,0,1
G0167,Savunma sanayii fuarı İstanbul'da açıldı.,1,1,1,1,0,1
G0168,Cumhurbaşkanlığı sarayında gizli tünel tespit edildi.,0,0,0,0,0,1
G0169,"Türkiye yeni bir kıta keşfetti, dünya haritaları yeniden çizilecek.",0,0,0,0,0,1
G0170,Rekabet Kurumu birleşme işlemine onay verdi.,1,1,1,1,0,1
G0171,Bu toplantıda CIA ve Türk yetkililer gizlice buluştu.,0,0,0,0,0,1
G0172,TRT yeni belgesel dizisinin yayın tarihini duyurdu.,1,1,1,1,0,1
G0173,"Kamu çalışanlarına yüzde 5 zam yapıldı, yıllık enflasyon 70%.",0,0,0,0,0,1
G0174,Anadolu Ajansı Suriye'deki gelişmeleri aktardı.,1,1,1,1,0,1
G0175,Türkiye futbol ligi fikstürü resmi olarak açıklandı.,1,1,1,1,0,1
G0176,"Alkol tamamen yasak olacak, resmi duyuru bekleniyor.",0,0,0,0,0,1
G0177,Türkiye'de organik tarım alanı arttı.,1,1,1,1,0,1
G0178,Türkiye-Pakistan arasında savunma iş birliği anlaşması yapıldı.,1,1,1,1,0,1
G0179,Türk hava savunma sistemi tatbikatı tamamlandı.,1,1,1,1,0,1
G0180,"Yerli otomobil Togg geri çağrıldı, güvenlik açığı tespit edildi.",0,0,0,0,0,1
G0181,Türk vatandaşları Schengen vizesi için DNA vermek zorunda.,0,0,0,0,0,1
G0182,"Güneş kremi zehirli maddeler içeriyor, kullanmayın!",0,0,0,0,0,1
G0183,İstanbul havalimanı yolcu sayısı açıklandı.,1,1,1,1,0,1
G0184,Türkiye afet yönetimi sistemini dijitalleştirdi.,1,1,1,1,0,1
G0185,Türkiye deniz turizmi kapasitesini artırıyor.,1,1,1,1,0,1
G0186,"İstanbul'da balık tüketimi yasaklandı, Boğaz kirlilik alarmı.",0,0,0,0,0,1
G0187,"Tüm petrol araçlar yasaklanıyor, elektrikli araç zorunlu oluyor.",0,0,0,0,0,1
G0188,Türkiye spor altyapısına yatırım yapmaya devam ediyor.,1,1,1,1,0,1
G0189,"Tüm anketler yanlış, gerçekte AKP yüzde 20'yi geçemiyor.",0,0,0,0,0,1
G0190,Türk e-ticaret pazarı büyümeye devam ediyor.,1,1,1,1,0,1
G0191,BDDK kredi kartı limitlerini düzenleyen yeni genelge yayımladı.,1,1,1,1,0,1
G0192,Türk araştırmacılar uluslararası bilim ödülü kazandı.,1,1,1,1,0,1
G0193,Sanayi Bakanlığı yeni standart düzenlemeleri yürürlüğe koydu.,1,1,1,1,0,1
G0194,Yeni anayasayla cumhurbaşkanlığı ömür boyu sürecek.,0,0,0,0,0,1
G0195,Maden Teknik Arama yeni maden sahası tespit etti.,1,1,1,1,0,1
G0196,Türkiye'de liselerde ders saatleri yeniden düzenlendi.,1,1,1,1,0,1
G0197,Türkiye'de yüksek hızlı tren projesi devam ediyor.,1,1,1,1,0,1
G0198,Türk ekonomisine yönelik kredi notu değerlendirmesi açıklandı.,1,1,1,1,0,1
G0199,Suriye sınırından nükleer silah girişi engellendi.,0,0,0,0,0,1
G0200,İstanbul Havalimanı yeni terminal kapasitesini artırdı.,1,1,1,1,0,1
G0201,Sağlık Bakanlığı: Aspirin artık reçetesiz satılmayacak.,0,0,0,0,0,1
G0202,Türk lirası yakında tamamen dijitale geçiyor.,0,0,0,0,0,1
G0203,"Boğaz, her gece yarısı 2 saat trafiğe kapatılıyor.",0,0,0,0,0,1
G0204,AFAD afet müdahale kapasitesini güçlendiren raporu yayımladı.,1,1,1,1,0,1
G0205,Türkiye 2025'te en az 3 seçim yapacak.,0,0,0,0,0,1
G0206,Anadolu Ajansı Orta Doğu'daki son gelişmeleri aktardı.,1,1,1,1,0,1
G0207,Türkiye-Kazakistan ticaret hacmi rekora ulaştı.,1,1,1,1,0,1
G0208,THY'nin tüm uçuşları iflas sebebiyle durduruldu.,0,0,0,0,0,1
G0209,İstanbul'da 5.1 büyüklüğünde deprem meydana geldi.,1,1,1,1,0,1
G0210,Türkiye ziraat bankasını IMF'ye teminat verdi.,0,0,0,0,0,1
G0211,"Türk diplomatlar Belçika'dan kovuldu, büyükelçilik kapatıldı.",0,0,0,0,0,1
G0212,Siirt'te toplu gıda zehirlenmesi: 200 kişi hastanelik oldu.,0,0,0,0,0,1
G0213,"Tarih öğretmenlerinin hepsi görevden alınacak, yeni müfredat geliyor.",0,0,0,0,0,1
G0214,"Bu video Türkiye'den değil, 10 yıl önceki Irak savaşından.",0,0,0,0,0,1
G0215,"Cumhurbaşkanı, baraj açılış törenine katıldı.",1,1,1,1,0,1
G0216,"Türkiye Merkez Bankası iflas etti, dolar 100 liraya çıkıyor!",0,0,0,0,0,1
G0217,"Türkiye Yunanistan savaşının eşiğinde, askeri harekat başladı.",0,0,0,0,0,1
G0218,İstanbul Teknik Üniversitesi yeni araştırma merkezi kurdu.,1,1,1,1,0,1
G0219,TBMM Genel Kurulu yeni torba yasayı kabul etti.,1,1,1,1,0,1
G0220,Enerji Bakanlığı yenilenebilir enerji kapasitesini açıkladı.,1,1,1,1,0,1
G0221,"FETÖ Türkiye'ye gizli operasyon düzenledi, devlet ele geçirildi.",0,0,0,0,0,1
G0222,Emniyet Teşkilatı uyuşturucu operasyonu sonuçlarını açıkladı.,1,1,1,1,0,1
G0223,"Ayvalık'ta denizden dev canavar çıktı, görüntüler şoke etti!",0,0,0,0,0,1
G0224,Türk şirketi yurt dışında yeni ortaklık anlaşması imzaladı.,1,1,1,1,0,1
G0225,İnternetteki tüm içerikler sansürleniyor.,0,0,0,0,0,1
G0226,"Tüm okullarda yüz yüze eğitim kaldırılıyor, uzaktan eğitime geçiliyor.",0,0,0,0,0,1
G0227,Ankara'da yeni sanayi bölgesi kurulacak.,1,1,1,1,0,1
G0228,Türkiye'de e-devlet hizmetlerinin kullanımı arttı.,1,1,1,1,0,1
G0229,Yeni düzenlemeyle artık her daire için vergi alınacak.,0,0,0,0,0,1
G0230,Türk diasporası Almanya'da kültür etkinliği düzenledi.,1,1,1,1,0,1
G0231,Cumhurbaşkanı yarın olağanüstü hal ilan edecek.,0,0,0,0,0,1
G0232,Türkiye-AB ilişkileri kapsamında yeni çalışma grubu kuruldu.,1,1,1,1,0,1
G0233,Sosyal medyaya günde 6 saatten fazla girenler vergilendirilecek.,0,0,0,0,0,1
G0234,Türkiye'de 100 kişinin üzerinde maşa alan Yargıtay üyesi var.,0,0,0,0,0,1
G0235,"Bu ürünü kullananlar kansere yakalandı, piyasadan kaldırıldı!",0,0,0,0,0,1
G0236,Alkali su içmek vücudu hastalıklardan tamamen koruyor.,0,0,0,0,0,1
G0237,Diyanet İşleri Başkanlığı ramazan programını duyurdu.,1,1,1,1,0,1
G0238,"Bu ilacın içeriğinde insan plasması var, skandal ortaya çıktı.",0,0,0,0,0,1
G0239,TÜİK verilerine göre işsizlik oranı yüzde 9.2 olarak açıklandı.,1,1,1,1,0,1
G0240,"Fırında pişen ekmekten kanser yapan madde çıkıyor, dikkat!",0,0,0,0,0,1
G0241,Hükümet yüzde 200 vergi artışına gizlice onay verdi.,0,0,0,0,0,1
G0242,Türkiye dijital vatandaşlık uygulamasını hayata geçirdi.,1,1,1,1,0,1
G0243,TÜBİTAK'ta çalışan 500 bilim insanı toplu istifa etti.,0,0,0,0,0,1
G0244,Türkiye 2023 yılında 250 milyar dolar ihracat yaptı.,1,1,1,1,0,1
G0245,Nüfus artışını durdurmak için hükümetten gizli kararname.,0,0,0,0,0,1
G0246,Şeker hastalığı artık kolay bir iğneyle tamamen tedavi ediliyor.,0,0,0,0,0,1
G0247,Enerji Bakanlığı nükleer enerji yol haritasını açıkladı.,1,1,1,1,0,1
G0248,Sağlık Bakanlığı obezite ile mücadele eylem planı yayımladı.,1,1,1,1,0,1
G0249,"MHP oy oranı yüzde 2'ye düştü, liderlik krizine girdi.",0,0,0,0,0,1
G0250,Türk ihracat şirketleri Orta Doğu pazarına erişimini genişletti.,1,1,1,1,0,1
G0251,Türkiye'nin ihracat rakamları geçen yıla göre arttı.,1,1,1,1,0,1
G0252,"Bu köyde 150 yıldır kimse hasta olmuyor, suyunun sırrı araştırılıyor.",0,0,0,0,0,1
G0253,Türkiye Orta Asya ile ticaret hacmini artırdı.,1,1,1,1,0,1
G0254,"Sehrin suyuna ilaç karıştırılıyor, herkes şimdiden stok yapsın!",0,0,0,0,0,1
G0255,Sağlık Bakanlığı kanser tarama merkezi sayısını artırdı.,1,1,1,1,0,1
G0256,Okul kantinlerindeki atıştırmalıklar tamamen yasaklanıyor.,0,0,0,0,0,1
G0257,Milli Eğitim Bakanlığı yeni müfredat taslağını yayımladı.,1,1,1,1,0,1
G0258,Türkiye Orta Doğu'daki barış sürecine aktif katkı sundu.,1,1,1,1,0,1
G0259,Tarım Bakanlığı sulama projelerini başlattı.,1,1,1,1,0,1
G0260,Türkiye'de 5G altyapı testleri tamamlandı.,1,1,1,1,0,1
G0261,Türk heyeti Brüksel'de AB yetkilileriyle görüştü.,1,1,1,1,0,1
G0262,"Yaz saati uygulaması tamamen kaldırıldı, saat geri alınıyor.",0,0,0,0,0,1
G0263,"Erdoğan istifasını açıkladı, Türkiye erken seçime gidiyor.",0,0,0,0,0,1
G0264,"Bu köyde 10 yıldır kimse ölmüyor, sırrı araştırıldı!",0,0,0,0,0,1
G0265,Türkiye Avrupa ile göç anlaşmasını yeniledi.,1,1,1,1,0,1
G0266,İstanbul'daki bazı bölgelerde su kesintisi 10 gündür sürüyor.,0,0,0,0,0,1
G0267,"Bu çipten kanser tedavisi formülü keşfedildi, şirket satın aldı.",0,0,0,0,0,1
G0268,"Meral Akşener CHP'ye katıldı, birleşme kararı alındı.",0,0,0,0,0,1
G0269,Sağlık Bakanlığı bölgesel sağlık politikasını güncelledi.,1,1,1,1,0,1
G0270,Türk pazarı çevre dostu ürünlere artan talep gösteriyor.,1,1,1,1,0,1
G0271,"Bu video Türkiye'den değil, 5 yıl önceki Brezilya görüntüsü.",0,0,0,0,0,1
G0272,"Türkiye'de altın rezervi tükendi, duyurusu gizli tutuluyor.",0,0,0,0,0,1
G0273,Sağlık Bakanlığı: Maske takmayanlar artık para cezası ödemeyecek.,0,0,0,0,0,1
G0274,Doğalgaz faturaları bu ay iki katına çıkacak.,0,0,0,0,0,1
G0275,Türkiye'de elektrik kapasitesinin yüzde 50'si yenilenebilirden karşılanıyor.,1,1,1,1,0,1
G0276,Türk Silahlı Kuvvetleri terörle mücadele operasyonunu tamamladı.,1,1,1,1,0,1
G0277,Tarih öğretmeni bu fotoğrafın sahte olduğunu kanıtladı.,0,0,0,0,0,1
G0278,Türk Kızılay Suriye'ye yardım sevkiyatı gönderdi.,1,1,1,1,0,1
G0279,Türkiye-Azerbaycan siyasi görüşmesi gerçekleşti.,1,1,1,1,0,1
G0280,"Bu içerik doğrulanmamış iddialar içeriyor, lütfen paylaşmayın.",0,0,0,0,0,1
G0281,Türk bilim insanları Nature dergisinde makale yayımladı.,1,1,1,1,0,1
G0282,"Türkiye Google Maps'ten kaldırıldı, harita boşluk gösteriyor.",0,0,0,0,0,1
G0283,Tarım Bakanlığı buğday alım fiyatlarını güncelledi.,1,1,1,1,0,1
G0284,Yeni kanunla çiftçiler tarla sahipliğini kaybedecek.,0,0,0,0,0,1
G0285,Türkiye çelik ihracatında yeni pazar kazandı.,1,1,1,1,0,1
G0286,Türkiye mesleki eğitim reformu için kaynak tahsis etti.,1,1,1,1,0,1
G0287,İstanbul'da yaşayan 1 milyon kişi kayıt dışı seçmen.,0,0,0,0,0,1
G0288,AFAD Kahramanmaraş depremi hasar raporunu açıkladı.,1,1,1,1,0,1
G0289,"Bu fotoğraf İstanbul değil, Mumbai'de çekildi.",0,0,0,0,0,1
G0290,Meteoroloji Genel Müdürlüğü haftalık hava tahminini yayımladı.,1,1,1,1,0,1
G0291,EPDK elektrik fiyat tarifesini güncelledi.,1,1,1,1,0,1
G0292,İstanbul'da tramvay hattı genişledi.,1,1,1,1,0,1
